Date,Long,Short,Change long,Change short,Net position
11/10/22,32476,58148,-3770,495,-25672
04/10/22,36246,57653,2569,6310,-21407
27/09/22,33677,51343,-14236,5486,-17666
20/09/22,47913,45857,-189,10180,2056
13/09/22,48102,35677,-9083,-3598,12425
06/09/22,57185,39275,-1519,4750,17910
30/08/22,58704,34525,5087,4135,24179
23/08/22,53617,30390,1774,5414,23227
16/08/22,51843,24976,4945,-699,26867
09/08/22,46898,25675,-1444,-2390,21223
02/08/22,48342,28065,1928,-2580,20277
26/07/22,46414,30645,4374,-4728,15769
19/07/22,42040,35373,427,-2735,6667
12/07/22,41613,38108,-3752,-2964,3505
05/07/22,45365,41072,-528,4276,4293
28/06/22,45893,36796,3633,-1359,9097
21/06/22,42260,38155,-14290,4807,4105
14/06/22,56550,33348,17262,-7002,23202
07/06/22,39288,40350,8768,2823,-1062
31/05/22,30520,37527,1521,-4159,-7007
24/05/22,28999,41686,-7070,-8879,-12687
17/05/22,36069,50565,-2610,6479,-14496
10/05/22,38679,44086,-5991,8445,-5407
03/05/22,44670,35641,-4117,7735,9029
26/04/22,48787,27906,4724,5069,20881
19/04/22,44063,22837,6339,-2729,21226
12/04/22,37724,25566,399,-4836,12158
05/04/22,37325,30402,4896,-3562,6923
29/03/22,32429,33964,3115,-290,-1535
22/03/22,29314,34254,-18092,4588,-4940
15/03/22,47406,29666,-1086,-11180,17740
08/03/22,48492,40846,-2389,4105,7646
01/03/22,50881,36741,3220,-1667,14140
22/02/22,47661,38408,-6763,-3846,9253
15/02/22,54424,42254,-338,2378,12170
08/02/22,54762,39876,2376,5754,14886
01/02/22,52386,34122,-743,-6690,18264
25/01/22,53129,40812,3337,-1488,12317
18/01/22,49792,42300,5508,-9360,7492
11/01/22,44284,51660,2379,-1270,-7376
04/01/22,41905,52930,-623,68,-11025
28/12/21,42528,52862,-3397,-2940,-10334
21/12/21,45925,55802,7695,4444,-9877
14/12/21,38230,51358,-2865,905,-13128
07/12/21,41095,50453,-147,-4864,-9358
30/11/21,41242,55317,-3078,7862,-14075
23/11/21,44320,47455,173,12017,-3135
16/11/21,44147,35438,186,-3419,8709
09/11/21,43961,38857,1924,982,5104
02/11/21,42037,37875,-3940,-4782,4162
26/10/21,45977,42657,5597,-8647,3320
19/10/21,40380,51304,17998,1062,-10924
12/10/21,22382,50242,3802,4796,-27860
05/10/21,18580,45446,-3293,3338,-26866
28/09/21,21873,42108,2919,-4723,-20235
21/09/21,18954,46831,-17723,871,-27877
14/09/21,36677,45960,-27,3246,-9283
07/09/21,36704,42714,-3982,-820,-6010
31/08/21,40686,43534,-3438,5287,-2848
24/08/21,44124,38247,-2375,-5592,5877
17/08/21,46499,43839,1054,4859,2660
10/08/21,45445,38980,-619,376,6465
03/08/21,46064,38604,-984,-3070,7460
27/07/21,47048,41674,-12835,-5294,5374
20/07/21,59883,46968,-3224,10237,12915
13/07/21,63107,36731,-6816,7986,26376
06/07/21,69923,28745,1622,6245,41178
29/06/21,68301,22500,-773,-3349,45801
22/06/21,69074,25849,-3997,-2968,43225
15/06/21,73071,28817,-7918,-6891,44254
08/06/21,80989,35708,-8478,-4987,45281
01/06/21,89467,40695,5284,1323,48772
25/05/21,84183,39372,2157,3458,44811
18/05/21,82026,35914,2697,-4786,46112
11/05/21,79329,40700,5049,-7633,38629
04/05/21,74280,48333,17605,7380,25947
27/04/21,56675,40953,2851,375,15722
20/04/21,53824,40578,5768,-5072,13246
13/04/21,48056,45650,550,834,2406
06/04/21,47506,44816,-956,2872,2690
30/03/21,48462,41944,1676,261,6518
23/03/21,46786,41683,-4121,1039,5103
16/03/21,50907,40644,885,1603,10263
09/03/21,50022,39041,-1369,2977,10981
02/03/21,51391,36064,4492,-1703,15327
23/02/21,46899,37767,1878,910,9132
16/02/21,45021,36857,747,2111,8164
09/02/21,44274,34746,-2371,4197,9528
02/02/21,46645,30549,-7035,-9361,16096
26/01/21,53680,39910,10047,6603,13770
19/01/21,43633,33307,247,1994,10326
12/01/21,43386,31313,1826,4277,12073
05/01/21,41560,27036,-618,226,14524
