Date,Long,Short,Change long,Change short,Net position
11/10/22,5501,11391,-2315,-3277,-5890
04/10/22,7816,14668,135,1257,-6852
27/09/22,7681,13411,-486,-1496,-5730
20/09/22,8167,14907,463,-102,-6740
13/09/22,7704,15009,-3178,90,-7305
06/09/22,10882,14919,-1033,742,-4037
30/08/22,11915,14177,2374,2231,-2262
23/08/22,9541,11946,1768,-923,-2405
16/08/22,7773,12869,-862,-5548,-5096
09/08/22,8635,18417,465,-3061,-9782
02/08/22,8170,21478,32,2041,-13308
26/07/22,8138,19437,1190,1577,-11299
19/07/22,6948,17860,-69,2119,-10912
12/07/22,7017,15741,3799,2388,-8724
05/07/22,3218,13353,-1305,239,-10135
28/06/22,4523,13114,1455,2889,-8591
21/06/22,3068,10225,-1223,-874,-7157
14/06/22,4291,11099,1682,-7642,-6808
07/06/22,2609,18741,-32,-4358,-16132
31/05/22,2641,23099,1286,2071,-20458
24/05/22,1355,21028,-3885,-804,-19673
17/05/22,5240,21832,513,1342,-16592
10/05/22,4727,20490,370,2226,-15763
03/05/22,4357,18264,-98,940,-13907
26/04/22,4455,17324,1555,2974,-12869
19/04/22,2900,14350,1258,-1234,-11450
12/04/22,1642,15584,-218,1331,-13942
05/04/22,1860,14253,-1432,-618,-12393
29/03/22,3292,14871,-2720,435,-11579
22/03/22,6012,14436,204,3399,-8424
15/03/22,5808,11037,952,-3529,-5229
08/03/22,4856,14566,3205,-2333,-9710
01/03/22,1651,16899,-2134,2127,-15248
22/02/22,3785,14772,133,1405,-10987
15/02/22,3652,13367,2418,2734,-9715
08/02/22,1234,10633,536,1696,-9399
01/02/22,698,8937,-1301,-1858,-8239
25/01/22,1999,10795,1074,-940,-8796
18/01/22,925,11735,-3646,-496,-10810
11/01/22,4571,12231,61,-1808,-7660
04/01/22,4510,14039,3467,2278,-9529
28/12/21,1043,11761,-1417,74,-10718
21/12/21,2460,11687,1116,2007,-9227
14/12/21,1344,9680,-1494,-5211,-8336
07/12/21,2838,14891,-1089,-3218,-12053
30/11/21,3927,18109,-2314,492,-14182
23/11/21,6241,17617,739,3226,-11376
16/11/21,5502,14391,812,-7342,-8889
09/11/21,4690,21733,3251,-354,-17043
02/11/21,1439,22087,193,1462,-20648
26/10/21,1246,20625,-1119,676,-19379
19/10/21,2365,19949,-1195,3417,-17584
12/10/21,3560,16532,1286,-1421,-12972
05/10/21,2274,17953,-4460,-368,-15679
28/09/21,6734,18321,-713,1657,-11587
21/09/21,7447,16664,1277,4616,-9217
14/09/21,6170,12048,-5501,597,-5878
07/09/21,11671,11451,-2588,1167,220
31/08/21,14259,10284,-349,-230,3975
24/08/21,14608,10514,254,1707,4094
17/08/21,14354,8807,-4183,-52,5547
10/08/21,18537,8859,2015,-120,9678
03/08/21,16522,8979,-1740,-794,7543
27/07/21,18262,9773,201,-246,8489
20/07/21,18061,10019,-13,-918,8042
13/07/21,18074,10937,-1156,1869,7137
06/07/21,19230,9068,289,1192,10162
29/06/21,18941,7876,-2039,448,11065
22/06/21,20980,7428,6105,1940,13552
15/06/21,14875,5488,2226,-6085,9387
08/06/21,12649,11573,-1291,-2043,1076
01/06/21,13940,13616,1717,190,324
25/05/21,12223,13426,1108,-1954,-1203
18/05/21,11115,15380,734,2148,-4265
11/05/21,10381,13232,105,3012,-2851
04/05/21,10276,10220,-840,-1582,56
27/04/21,11116,11802,-148,-1104,-686
20/04/21,11264,12906,-1701,765,-1642
13/04/21,12965,12141,-2725,-304,824
06/04/21,15690,12445,-396,628,3245
30/03/21,16086,11817,3628,2231,4269
23/03/21,12458,9586,-839,960,2872
16/03/21,13297,8626,-10317,-595,4671
09/03/21,23614,9221,1751,-381,14393
02/03/21,21863,9602,302,-436,12261
23/02/21,21561,10038,5816,2664,11523
16/02/21,15745,7374,-3033,4,8371
09/02/21,18778,7370,-3381,-148,11408
02/02/21,22159,7518,4521,-28,14641
26/01/21,17638,7546,-68,-740,10092
19/01/21,17706,8286,-2715,-160,9420
12/01/21,20421,8446,3035,432,11975
05/01/21,17386,8014,-4110,-1695,9372
