Date,Long,Short,Change long,Change short,Net position,url_report,type
30/05/23,9040,8853,-1084,-378,187,deacmesf,crypto
23/05/23,10124,9231,69,187,893,deacmesf,crypto
16/05/23,10055,9044,28,-560,1011,deacmesf,crypto
09/05/23,10027,9604,342,87,423,deacmesf,crypto
02/05/23,9685,9517,119,-342,168,deacmesf,crypto
25/04/23,9566,9859,-2063,-2259,-293,deacmesf,crypto
18/04/23,11629,12118,-587,-1220,-489,deacmesf,crypto
11/04/23,12216,13338,1801,2308,-1122,deacmesf,crypto
04/04/23,10415,11030,-753,-414,-615,deacmesf,crypto
28/03/23,11168,11444,317,-28,-276,deacmesf,crypto
21/03/23,10851,11472,267,786,-621,deacmesf,crypto
14/03/23,10584,10686,477,620,-102,deacmesf,crypto
07/03/23,10107,10066,-1814,-2454,41,deacmesf,crypto
28/02/23,11921,12520,-267,-480,-599,deacmesf,crypto
21/02/23,12188,13000,413,442,-812,deacmesf,crypto
14/02/23,11775,12558,-1395,-1790,-783,deacmesf,crypto
07/02/23,13170,14348,-429,-1050,-1178,deacmesf,crypto
31/01/23,13599,15398,563,925,-1799,deacmesf,crypto
24/01/23,13036,14473,580,1390,-1437,deacmesf,crypto
17/01/23,12456,13083,467,500,-627,deacmesf,crypto
10/01/23,11989,12583,242,1225,-594,deacmesf,crypto
03/01/23,11747,11358,-614,-310,389,deacmesf,crypto
27/12/22,12361,11668,1093,717,693,deacmesf,crypto
20/12/22,11268,10951,602,245,317,deacmesf,crypto
13/12/22,10666,10706,-1985,-1878,-40,deacmesf,crypto
06/12/22,12651,12584,-1132,-875,67,deacmesf,crypto
29/11/22,13783,13459,-448,-66,324,deacmesf,crypto
22/11/22,14231,13525,135,0,706,deacmesf,crypto
15/11/22,14096,13525,2793,2240,571,deacmesf,crypto
08/11/22,11303,11285,2336,1866,18,deacmesf,crypto
01/11/22,8967,9419,-2117,-1642,-452,deacmesf,crypto
25/10/22,11084,11061,374,373,23,deacmesf,crypto
18/10/22,10710,10688,-1994,-1159,22,deacmesf,crypto
11/10/22,12704,11847,1223,334,857,deacmesf,crypto
04/10/22,11481,11513,-421,635,-32,deacmesf,crypto
27/09/22,11902,10878,745,298,1024,deacmesf,crypto
20/09/22,11157,10580,889,438,577,deacmesf,crypto
13/09/22,10268,10142,-2475,-1279,126,deacmesf,crypto
06/09/22,12743,11421,966,940,1322,deacmesf,crypto
30/08/22,11777,10481,999,667,1296,deacmesf,crypto
23/08/22,10778,9814,1494,437,964,deacmesf,crypto
16/08/22,9284,9377,-10,-147,-93,deacmesf,crypto
09/08/22,9294,9524,-446,-797,-230,deacmesf,crypto
02/08/22,9740,10321,-38,422,-581,deacmesf,crypto
26/07/22,9778,9899,-1131,-1516,-121,deacmesf,crypto
19/07/22,10909,11415,584,919,-506,deacmesf,crypto
12/07/22,10325,10496,-317,274,-171,deacmesf,crypto
05/07/22,10642,10222,-495,170,420,deacmesf,crypto
28/06/22,11137,10052,642,603,1085,deacmesf,crypto
21/06/22,10495,9449,499,514,1046,deacmesf,crypto
14/06/22,9996,8935,1037,466,1061,deacmesf,crypto
07/06/22,8959,8469,279,192,490,deacmesf,crypto
31/05/22,8680,8277,-1043,-597,403,deacmesf,crypto
24/05/22,9723,8874,159,116,849,deacmesf,crypto
17/05/22,9564,8758,775,672,806,deacmesf,crypto
10/05/22,8789,8086,668,353,703,deacmesf,crypto
03/05/22,8121,7733,-408,-384,388,deacmesf,crypto
26/04/22,8529,8117,266,-340,412,deacmesf,crypto
19/04/22,8263,8457,56,417,-194,deacmesf,crypto
12/04/22,8207,8040,-604,-1015,167,deacmesf,crypto
05/04/22,8811,9055,-911,-938,-244,deacmesf,crypto
29/03/22,9722,9993,1297,1568,-271,deacmesf,crypto
22/03/22,8425,8425,436,626,0,deacmesf,crypto
15/03/22,7989,7799,229,304,190,deacmesf,crypto
08/03/22,7760,7495,-221,-406,265,deacmesf,crypto
01/03/22,7981,7901,-520,-883,80,deacmesf,crypto
22/02/22,8501,8784,194,262,-283,deacmesf,crypto
15/02/22,8307,8522,556,452,-215,deacmesf,crypto
08/02/22,7751,8070,-233,227,-319,deacmesf,crypto
01/02/22,7984,7843,-694,-869,141,deacmesf,crypto
25/01/22,8678,8712,261,-254,-34,deacmesf,crypto
18/01/22,8417,8966,392,564,-549,deacmesf,crypto
11/01/22,8025,8402,258,31,-377,deacmesf,crypto
04/01/22,7767,8371,-962,-900,-604,deacmesf,crypto
