Date,Long,Short,Change long,Change short,Net position,url_report,type
11/10/22,2712,2475,176,40,237,deacmesf,crypto
04/10/22,2536,2435,-726,-406,101,deacmesf,crypto
27/09/22,3262,2841,225,160,421,deacmesf,crypto
20/09/22,3037,2681,359,-232,356,deacmesf,crypto
13/09/22,2678,2913,-365,-386,-235,deacmesf,crypto
06/09/22,3043,3299,64,353,-256,deacmesf,crypto
30/08/22,2979,2946,1114,886,33,deacmesf,crypto
23/08/22,1865,2060,-27,-273,-195,deacmesf,crypto
16/08/22,1892,2333,298,272,-441,deacmesf,crypto
09/08/22,1594,2061,-431,-251,-467,deacmesf,crypto
02/08/22,2025,2312,58,113,-287,deacmesf,crypto
26/07/22,1967,2199,-192,-108,-232,deacmesf,crypto
19/07/22,2159,2307,-1069,-478,-148,deacmesf,crypto
12/07/22,3228,2785,326,231,443,deacmesf,crypto
05/07/22,2902,2554,-137,-111,348,deacmesf,crypto
28/06/22,3039,2665,494,602,374,deacmesf,crypto
21/06/22,2545,2063,19,-21,482,deacmesf,crypto
14/06/22,2526,2084,278,142,442,deacmesf,crypto
07/06/22,2248,1942,16,-331,306,deacmesf,crypto
31/05/22,2232,2273,-243,-18,-41,deacmesf,crypto
24/05/22,2475,2291,-199,-94,184,deacmesf,crypto
17/05/22,2674,2385,16,15,289,deacmesf,crypto
10/05/22,2658,2370,616,132,288,deacmesf,crypto
03/05/22,2042,2238,-568,-548,-196,deacmesf,crypto
26/04/22,2610,2786,655,233,-176,deacmesf,crypto
19/04/22,1955,2553,-58,1,-598,deacmesf,crypto
12/04/22,2013,2552,-121,-312,-539,deacmesf,crypto
05/04/22,2134,2864,23,-39,-730,deacmesf,crypto
29/03/22,2111,2903,-1,194,-792,deacmesf,crypto
22/03/22,2112,2709,197,574,-597,deacmesf,crypto
15/03/22,1915,2135,-330,-256,-220,deacmesf,crypto
08/03/22,2245,2391,163,-23,-146,deacmesf,crypto
01/03/22,2082,2414,-296,-170,-332,deacmesf,crypto
22/02/22,2378,2584,78,-46,-206,deacmesf,crypto
15/02/22,2300,2630,467,316,-330,deacmesf,crypto
08/02/22,1833,2314,-328,-110,-481,deacmesf,crypto
01/02/22,2161,2424,-251,-335,-263,deacmesf,crypto
25/01/22,2412,2759,86,139,-347,deacmesf,crypto
18/01/22,2326,2620,234,40,-294,deacmesf,crypto
11/01/22,2092,2580,73,-76,-488,deacmesf,crypto
04/01/22,2019,2656,-516,-681,-637,deacmesf,crypto
