Date,Long,Short,Cloture long,Cloture short,Net position
18/05/21,"232,330","132,472","8,943","2,992","99,858"
11/05/21,"223,387","129,480","16,915","7,837","93,907"
04/05/21,"206,472","121,643","6,057","2,195","84,829"
27/04/21,"200,415","119,448","3,278","3,119","80,967"
20/04/21,"197,137","116,329","6,497","-7,460","80,808"
13/04/21,"190,640","123,789","-1,590",-919,"66,851"
06/04/21,"192,230","124,708","-2,533","3,684","67,522"
30/03/21,"194,763","121,024",-737,"18,846","73,739"
23/03/21,"195,500","102,178",-357,"-3,703","93,322"
16/03/21,"195,857","105,881","-11,731",257,"89,976"
09/03/21,"207,588","105,624","-15,067","8,957","101,964"
02/03/21,"222,655","96,667","-5,846","6,531","125,988"
23/02/21,"228,501","90,136","5,606","7,247","138,365"
16/02/21,"222,895","82,889","1,952","2,168","140,006"
09/02/21,"220,943","80,721","4,056",837,"140,222"
02/02/21,"216,887","79,884","-21,212","7,129","137,003"
26/01/21,"238,099","72,755","1,566",-312,"165,344"
19/01/21,"236,533","73,067","7,776",200,"163,466"
12/01/21,"228,757","72,867","3,925","-8,974","155,890"
05/01/21,"224,832","81,841","1,984","2,069","142,991"
