Date,Long,Short,Change long,Change short,Net position,url_report,type
09/05/23,41225,90418,-11115,-6932,-49193,deacmesf,forex
02/05/23,52340,97350,-1901,3647,-45010,deacmesf,forex
25/04/23,54241,93703,9631,6737,-39462,deacmesf,forex
18/04/23,44610,86966,-871,3548,-42356,deacmesf,forex
11/04/23,45481,83418,-1206,9498,-37937,deacmesf,forex
04/04/23,46687,73920,2874,-5246,-27233,deacmesf,forex
28/03/23,43813,79166,2630,-476,-35353,deacmesf,forex
21/03/23,41183,79642,-502,-2134,-38459,deacmesf,forex
14/03/23,41685,81776,-12622,2645,-40091,deacmesf,forex
07/03/23,54307,79131,13236,13895,-24824,deacmesf,forex
28/02/23,41071,65236,2579,1956,-24165,deacmesf,forex
21/02/23,38492,63280,7740,3621,-24788,deacmesf,forex
14/02/23,30752,59659,708,1510,-28907,deacmesf,forex
07/02/23,30044,58149,-6293,-8780,-28105,deacmesf,forex
31/01/23,36337,66929,6871,4292,-30592,deacmesf,forex
24/01/23,29466,62637,873,424,-33171,deacmesf,forex
17/01/23,28593,62213,-1617,-1687,-33620,deacmesf,forex
10/01/23,30210,63900,-4998,-7575,-33690,deacmesf,forex
03/01/23,35208,71475,2253,1729,-36267,deacmesf,forex
27/12/22,32955,69746,1176,3852,-36791,deacmesf,forex
20/12/22,31779,65894,-4046,-7768,-34115,deacmesf,forex
13/12/22,35825,73662,-509,-3235,-37837,deacmesf,forex
06/12/22,36334,76897,1289,-2778,-40563,deacmesf,forex
29/11/22,35045,79675,2220,4064,-44630,deacmesf,forex
22/11/22,32825,75611,-389,-2352,-42786,deacmesf,forex
15/11/22,33214,77963,-74,-2008,-44749,deacmesf,forex
08/11/22,33288,79971,-860,-4709,-46683,deacmesf,forex
01/11/22,34148,84680,1989,1075,-50532,deacmesf,forex
25/10/22,32159,83605,-887,15200,-51446,deacmesf,forex
18/10/22,33046,68405,3721,7809,-35359,deacmesf,forex
11/10/22,29325,60596,-6923,-3416,-31271,deacmesf,forex
04/10/22,36248,64012,-2758,-9647,-27764,deacmesf,forex
27/09/22,39006,73659,209,-5694,-34653,deacmesf,forex
20/09/22,38797,79353,9579,-7715,-40556,deacmesf,forex
13/09/22,29218,87068,-4087,-2737,-57850,deacmesf,forex
06/09/22,33305,89805,2001,1108,-56500,deacmesf,forex
30/08/22,31304,88697,-1038,-3673,-57393,deacmesf,forex
23/08/22,32342,92370,3507,4287,-60028,deacmesf,forex
16/08/22,28835,88083,3191,4851,-59248,deacmesf,forex
09/08/22,25644,83232,-5191,-3553,-57588,deacmesf,forex
02/08/22,30835,86785,811,9376,-55950,deacmesf,forex
26/07/22,30024,77409,-554,3683,-47385,deacmesf,forex
19/07/22,30578,73726,51,1599,-43148,deacmesf,forex
12/07/22,30527,72127,2905,-3116,-41600,deacmesf,forex
05/07/22,27622,75243,-1265,3376,-47621,deacmesf,forex
28/06/22,28887,71867,-2858,-484,-42980,deacmesf,forex
21/06/22,31745,72351,85,-2563,-40606,deacmesf,forex
14/06/22,31660,74914,-60,-4702,-43254,deacmesf,forex
07/06/22,31720,79616,-1177,-1963,-47896,deacmesf,forex
31/05/22,32897,81579,-3682,-446,-48682,deacmesf,forex
24/05/22,36579,82025,-4894,-4090,-45446,deacmesf,forex
17/05/22,41473,86115,4604,7532,-44642,deacmesf,forex
10/05/22,36869,78583,-10126,3072,-41714,deacmesf,forex
03/05/22,46995,75511,-110,755,-28516,deacmesf,forex
26/04/22,47105,74756,7904,6718,-27651,deacmesf,forex
19/04/22,39201,68038,-569,-447,-28837,deacmesf,forex
12/04/22,39770,68485,4899,-3899,-28715,deacmesf,forex
05/04/22,34871,72384,911,-11182,-37513,deacmesf,forex
29/03/22,33960,83566,10213,8630,-49606,deacmesf,forex
22/03/22,23747,74936,-534,5799,-51189,deacmesf,forex
15/03/22,24281,69137,4760,-28579,-44856,deacmesf,forex
08/03/22,19521,97716,6801,6660,-78195,deacmesf,forex
01/03/22,12720,91056,1167,-4577,-78336,deacmesf,forex
22/02/22,11553,95633,-139,-2753,-84080,deacmesf,forex
15/02/22,11692,98386,-5631,-4678,-86694,deacmesf,forex
08/02/22,17323,103064,-1512,4400,-85741,deacmesf,forex
01/02/22,18835,98664,3714,270,-79829,deacmesf,forex
25/01/22,15121,98394,6070,889,-83273,deacmesf,forex
18/01/22,9051,97505,-3332,-6364,-88454,deacmesf,forex
11/01/22,12383,103869,-249,1871,-91486,deacmesf,forex
04/01/22,12632,101998,-4253,3372,-89366,deacmesf,forex
