Date,Long,Short,Change long,Change short,Net position,url_report,type
24/01/23,35691,12906,3262,2670,22785,deacmesf,forex
17/01/23,32429,10236,7219,6727,22193,deacmesf,forex
10/01/23,25210,3509,-6895,-385,21701,deacmesf,forex
03/01/23,32105,3894,-572,-21368,28211,deacmesf,forex
27/12/22,32677,25262,9994,4815,7415,deacmesf,forex
20/12/22,22683,20447,-478,745,2236,deacmesf,forex
13/12/22,23161,19702,8536,7275,3459,deacmesf,forex
06/12/22,14625,12427,-1875,3564,2198,deacmesf,forex
29/11/22,16500,8863,-2443,-1344,7637,deacmesf,forex
22/11/22,18943,10207,2546,2828,8736,deacmesf,forex
15/11/22,16397,7379,-1909,-6426,9018,deacmesf,forex
08/11/22,18306,13805,-20019,4637,4501,deacmesf,forex
01/11/22,38325,9168,6490,6512,29157,deacmesf,forex
25/10/22,31835,2656,1509,-1172,29179,deacmesf,forex
18/10/22,30326,3828,1497,1074,26498,deacmesf,forex
11/10/22,28829,2754,-65,-361,26075,deacmesf,forex
04/10/22,28894,3115,-10592,-2607,25779,deacmesf,forex
27/09/22,39486,5722,-2493,-3888,33764,deacmesf,forex
20/09/22,41979,9610,-213,371,32369,deacmesf,forex
13/09/22,42192,9239,2741,648,32953,deacmesf,forex
06/09/22,39451,8591,9008,-12993,30860,deacmesf,forex
30/08/22,30443,21584,2463,-31,8859,deacmesf,forex
23/08/22,27980,21615,2218,2376,6365,deacmesf,forex
16/08/22,25762,19239,12127,7337,6523,deacmesf,forex
09/08/22,13635,11902,3073,210,1733,deacmesf,forex
02/08/22,10562,11692,-10052,2790,-1130,deacmesf,forex
26/07/22,20614,8902,14,-1223,11712,deacmesf,forex
19/07/22,20600,10125,1403,1133,10475,deacmesf,forex
12/07/22,19197,8992,-5064,1064,10205,deacmesf,forex
05/07/22,24261,7928,-18827,1868,16333,deacmesf,forex
28/06/22,43088,6060,-12511,-5194,37028,deacmesf,forex
21/06/22,55599,11254,-2424,444,44345,deacmesf,forex
14/06/22,58023,10810,-634,-1142,47213,deacmesf,forex
07/06/22,58657,11952,5761,4372,46705,deacmesf,forex
31/05/22,52896,7580,7820,1218,45316,deacmesf,forex
24/05/22,45076,6362,2087,1468,38714,deacmesf,forex
17/05/22,42989,4894,-5846,-3163,38095,deacmesf,forex
10/05/22,48835,8057,-1156,-146,40778,deacmesf,forex
03/05/22,49991,8203,-3800,1296,41788,deacmesf,forex
26/04/22,53791,6907,1,-2311,46884,deacmesf,forex
19/04/22,53790,9218,1166,2723,44572,deacmesf,forex
12/04/22,52624,6495,2106,1503,46129,deacmesf,forex
05/04/22,50518,4992,-2547,-5457,45526,deacmesf,forex
29/03/22,53065,10449,-1936,-2988,42616,deacmesf,forex
22/03/22,55001,13437,-180,2419,41564,deacmesf,forex
15/03/22,55181,11018,638,6971,44163,deacmesf,forex
08/03/22,54543,4047,-1485,-1533,50496,deacmesf,forex
01/03/22,56028,5580,4038,-21965,50448,deacmesf,forex
22/02/22,51990,27545,122,-563,24445,deacmesf,forex
15/02/22,51868,28108,2698,-816,23760,deacmesf,forex
08/02/22,49170,28924,12877,-20722,20246,deacmesf,forex
01/02/22,36293,49646,14859,15596,-13353,deacmesf,forex
25/01/22,21434,34050,10476,11723,-12616,deacmesf,forex
18/01/22,10958,22327,3646,4203,-11369,deacmesf,forex
11/01/22,7312,18124,-3464,6272,-10812,deacmesf,forex
04/01/22,10776,11852,-3197,-7407,-1076,deacmesf,forex
