Date,Long,Short,Change long,Change short,Net position,url_report,type
01/11/22,38522,56171,2915,2409,-17649,deacmesf,forex
25/10/22,35607,53762,223,-2195,-18155,deacmesf,forex
18/10/22,35384,55957,2908,-2191,-20573,deacmesf,forex
11/10/22,32476,58148,-3770,495,-25672,deacmesf,forex
04/10/22,36246,57653,2569,6310,-21407,deacmesf,forex
27/09/22,33677,51343,-14236,5486,-17666,deacmesf,forex
20/09/22,47913,45857,-189,10180,2056,deacmesf,forex
13/09/22,48102,35677,-9083,-3598,12425,deacmesf,forex
06/09/22,57185,39275,-1519,4750,17910,deacmesf,forex
30/08/22,58704,34525,5087,4135,24179,deacmesf,forex
23/08/22,53617,30390,1774,5414,23227,deacmesf,forex
16/08/22,51843,24976,4945,-699,26867,deacmesf,forex
09/08/22,46898,25675,-1444,-2390,21223,deacmesf,forex
02/08/22,48342,28065,1928,-2580,20277,deacmesf,forex
26/07/22,46414,30645,4374,-4728,15769,deacmesf,forex
19/07/22,42040,35373,427,-2735,6667,deacmesf,forex
12/07/22,41613,38108,-3752,-2964,3505,deacmesf,forex
05/07/22,45365,41072,-528,4276,4293,deacmesf,forex
28/06/22,45893,36796,3633,-1359,9097,deacmesf,forex
21/06/22,42260,38155,-14290,4807,4105,deacmesf,forex
14/06/22,56550,33348,17262,-7002,23202,deacmesf,forex
07/06/22,39288,40350,8768,2823,-1062,deacmesf,forex
31/05/22,30520,37527,1521,-4159,-7007,deacmesf,forex
24/05/22,28999,41686,-7070,-8879,-12687,deacmesf,forex
17/05/22,36069,50565,-2610,6479,-14496,deacmesf,forex
10/05/22,38679,44086,-5991,8445,-5407,deacmesf,forex
03/05/22,44670,35641,-4117,7735,9029,deacmesf,forex
26/04/22,48787,27906,4724,5069,20881,deacmesf,forex
19/04/22,44063,22837,6339,-2729,21226,deacmesf,forex
12/04/22,37724,25566,399,-4836,12158,deacmesf,forex
05/04/22,37325,30402,4896,-3562,6923,deacmesf,forex
29/03/22,32429,33964,3115,-290,-1535,deacmesf,forex
22/03/22,29314,34254,-18092,4588,-4940,deacmesf,forex
15/03/22,47406,29666,-1086,-11180,17740,deacmesf,forex
08/03/22,48492,40846,-2389,4105,7646,deacmesf,forex
01/03/22,50881,36741,3220,-1667,14140,deacmesf,forex
22/02/22,47661,38408,-6763,-3846,9253,deacmesf,forex
15/02/22,54424,42254,-338,2378,12170,deacmesf,forex
08/02/22,54762,39876,2376,5754,14886,deacmesf,forex
01/02/22,52386,34122,-743,-6690,18264,deacmesf,forex
25/01/22,53129,40812,3337,-1488,12317,deacmesf,forex
18/01/22,49792,42300,5508,-9360,7492,deacmesf,forex
11/01/22,44284,51660,2379,-1270,-7376,deacmesf,forex
04/01/22,41905,52930,-623,68,-11025,deacmesf,forex
