Date,Long,Short,Change long,Change short,Net position,url_report,type
29/11/22,241122,118875,1524,2389,122247,deacmesf,forex
22/11/22,239598,116486,229,-10217,123112,deacmesf,forex
15/11/22,239369,126703,7052,1985,112666,deacmesf,forex
08/11/22,232317,124718,-7453,-9262,107599,deacmesf,forex
01/11/22,239770,133980,13036,-17845,105790,deacmesf,forex
25/10/22,226734,151825,24031,-2728,74909,deacmesf,forex
18/10/22,202703,154553,6567,-4084,48150,deacmesf,forex
11/10/22,196136,158637,-3255,2928,37499,deacmesf,forex
04/10/22,199391,155709,-9345,-19230,43682,deacmesf,forex
27/09/22,208736,174939,2172,1824,33797,deacmesf,forex
20/09/22,206564,173115,-1214,-46500,33449,deacmesf,forex
13/09/22,207778,219615,2501,-22011,-11837,deacmesf,forex
06/09/22,205277,241626,3019,-8308,-36349,deacmesf,forex
30/08/22,202258,249934,-8567,-5000,-47676,deacmesf,forex
23/08/22,210825,254934,11599,12924,-44109,deacmesf,forex
16/08/22,199226,242010,-862,7386,-42784,deacmesf,forex
09/08/22,200088,234624,8396,4121,-34536,deacmesf,forex
02/08/22,191692,230503,-6349,-9122,-38811,deacmesf,forex
26/07/22,198041,239625,2166,1005,-41584,deacmesf,forex
19/07/22,195875,238620,-1365,16136,-42745,deacmesf,forex
12/07/22,197240,222484,102,8494,-25244,deacmesf,forex
05/07/22,197138,213990,7724,13980,-16852,deacmesf,forex
28/06/22,189414,200010,-6140,-11149,-10596,deacmesf,forex
21/06/22,195554,211159,-11432,-1845,-15605,deacmesf,forex
14/06/22,206986,213004,-23262,33299,-6018,deacmesf,forex
07/06/22,230248,179705,-6305,-4576,50543,deacmesf,forex
31/05/22,236553,184281,-519,-13861,52272,deacmesf,forex
24/05/22,237072,198142,6302,-12289,38930,deacmesf,forex
17/05/22,230770,210431,2540,-1270,20339,deacmesf,forex
10/05/22,228230,211701,19781,-3126,16529,deacmesf,forex
03/05/22,208449,214827,-14544,14035,-6378,deacmesf,forex
26/04/22,222993,200792,1990,11090,22201,deacmesf,forex
19/04/22,221003,189702,-642,7117,31301,deacmesf,forex
12/04/22,221645,182585,10731,-959,39060,deacmesf,forex
05/04/22,210914,183544,10871,4875,27370,deacmesf,forex
29/03/22,200043,178669,-7008,-4539,21374,deacmesf,forex
22/03/22,207051,183208,5011,-38,23843,deacmesf,forex
15/03/22,202040,183246,-40643,-593,18794,deacmesf,forex
08/03/22,242683,183839,14298,20393,58844,deacmesf,forex
01/03/22,228385,163446,14190,8557,64939,deacmesf,forex
22/02/22,214195,154889,-3704,-15429,59306,deacmesf,forex
15/02/22,217899,170318,-1074,-9813,47581,deacmesf,forex
08/02/22,218973,180131,5410,-3716,38842,deacmesf,forex
01/02/22,213563,183847,155,1999,29716,deacmesf,forex
25/01/22,213408,181848,1507,-5469,31560,deacmesf,forex
18/01/22,211901,187317,7540,-11039,24584,deacmesf,forex
11/01/22,204361,198356,5288,-2271,6005,deacmesf,forex
04/01/22,199073,200627,456,-4624,-1554,deacmesf,forex
