Date,Long,Short,Change long,Change short,Net position,url_report,type
31/01/23,36234,54551,1478,-4139,-18317,deacmesf,forex
24/01/23,34756,58690,-6713,-7476,-23934,deacmesf,forex
17/01/23,41469,66166,5462,703,-24697,deacmesf,forex
10/01/23,36007,65463,-7618,1537,-29456,deacmesf,forex
03/01/23,43625,63926,3040,12454,-20301,deacmesf,forex
27/12/22,40585,51472,5301,10585,-10887,deacmesf,forex
20/12/22,35284,40887,3276,-16860,-5603,deacmesf,forex
13/12/22,32008,57747,3469,1015,-25739,deacmesf,forex
06/12/22,28539,56732,2539,-5852,-28193,deacmesf,forex
29/11/22,26000,62584,-4917,-4275,-36584,deacmesf,forex
22/11/22,30917,66859,-3782,-674,-35942,deacmesf,forex
15/11/22,34699,67533,-1931,-8832,-32834,deacmesf,forex
08/11/22,36630,76365,1651,-3450,-39735,deacmesf,forex
01/11/22,34979,79815,-8532,-11501,-44836,deacmesf,forex
25/10/22,43511,91316,3183,-223,-47805,deacmesf,forex
18/10/22,40328,91539,-8651,3390,-51211,deacmesf,forex
11/10/22,48979,88149,6901,-3468,-39170,deacmesf,forex
04/10/22,42078,91617,-17753,-14638,-49539,deacmesf,forex
27/09/22,59831,106255,18542,10123,-46424,deacmesf,forex
20/09/22,41289,96132,160,-13083,-54843,deacmesf,forex
13/09/22,41129,109215,-11602,6052,-68086,deacmesf,forex
06/09/22,52731,103163,-5746,15516,-50432,deacmesf,forex
30/08/22,58477,87647,-306,898,-29170,deacmesf,forex
23/08/22,58783,86749,14699,9556,-27966,deacmesf,forex
16/08/22,44084,77193,1865,506,-33109,deacmesf,forex
09/08/22,42219,76687,12914,-9027,-34468,deacmesf,forex
02/08/22,29305,85714,-5301,-2882,-56409,deacmesf,forex
26/07/22,34606,88596,2663,-597,-53990,deacmesf,forex
19/07/22,31943,89193,-1907,-3746,-57250,deacmesf,forex
12/07/22,33850,92939,-5768,-2887,-59089,deacmesf,forex
05/07/22,39618,95826,4434,7524,-56208,deacmesf,forex
28/06/22,35184,88302,6714,-3415,-53118,deacmesf,forex
21/06/22,28470,91717,-873,-3222,-63247,deacmesf,forex
14/06/22,29343,94939,-5275,-10489,-65596,deacmesf,forex
07/06/22,34618,105428,3830,535,-70810,deacmesf,forex
31/05/22,30788,104893,4852,-1415,-74105,deacmesf,forex
24/05/22,25936,106308,-677,454,-80372,deacmesf,forex
17/05/22,26613,105854,-2856,-3213,-79241,deacmesf,forex
10/05/22,29469,109067,-4067,1718,-79598,deacmesf,forex
03/05/22,33536,107349,-6900,-2708,-73813,deacmesf,forex
26/04/22,40436,110057,3625,14332,-69621,deacmesf,forex
19/04/22,36811,95725,1297,7157,-58914,deacmesf,forex
12/04/22,35514,88568,-359,10937,-53054,deacmesf,forex
05/04/22,35873,77631,5249,6937,-41758,deacmesf,forex
29/03/22,30624,70694,-2129,697,-40070,deacmesf,forex
22/03/22,32753,69997,311,8494,-37244,deacmesf,forex
15/03/22,32442,61503,-18540,-2005,-29061,deacmesf,forex
08/03/22,50982,63508,3303,15492,-12526,deacmesf,forex
01/03/22,47679,48016,5430,-42,-337,deacmesf,forex
22/02/22,42249,48058,-7902,144,-5809,deacmesf,forex
15/02/22,50151,47914,5442,-5340,2237,deacmesf,forex
08/02/22,44709,53254,15112,52,-8545,deacmesf,forex
01/02/22,29597,53202,-7069,8773,-23605,deacmesf,forex
25/01/22,36666,44429,-3094,4422,-7763,deacmesf,forex
18/01/22,39760,40007,9254,-19665,-247,deacmesf,forex
11/01/22,30506,59672,4526,-5479,-29166,deacmesf,forex
04/01/22,25980,65151,2887,-8661,-39171,deacmesf,forex
