Date,Long,Short,Change long,Change short,Net position,url_report,type
24/01/23,27620,49255,-1838,-3164,-21635,deacmesf,forex
17/01/23,29458,52419,3063,-9353,-22961,deacmesf,forex
10/01/23,26395,61772,1018,-10469,-35377,deacmesf,forex
03/01/23,25377,72241,-4308,4826,-46864,deacmesf,forex
27/12/22,29685,67415,-4001,-7152,-37730,deacmesf,forex
20/12/22,33686,74567,11396,-911,-40881,deacmesf,forex
13/12/22,22290,75478,-1299,-14107,-53188,deacmesf,forex
06/12/22,23589,89585,-4536,-5934,-65996,deacmesf,forex
29/11/22,28125,95519,-2675,-131,-67394,deacmesf,forex
22/11/22,30800,95650,-2997,-3989,-64850,deacmesf,forex
15/11/22,33797,99639,-3404,-12820,-65842,deacmesf,forex
08/11/22,37201,112459,-3259,-5621,-75258,deacmesf,forex
01/11/22,40460,118080,2881,-22117,-77620,deacmesf,forex
25/10/22,37579,140197,6996,15278,-102618,deacmesf,forex
18/10/22,30583,124919,434,17377,-94336,deacmesf,forex
11/10/22,30149,107542,3187,-1043,-77393,deacmesf,forex
04/10/22,26962,108585,4256,3323,-81623,deacmesf,forex
27/09/22,22706,105262,-12061,-10785,-82556,deacmesf,forex
20/09/22,34767,116047,-4556,-3968,-81280,deacmesf,forex
13/09/22,39323,120015,-16679,5824,-80692,deacmesf,forex
06/09/22,56002,114191,1489,18147,-58189,deacmesf,forex
30/08/22,54513,96044,-2221,503,-41531,deacmesf,forex
23/08/22,56734,95541,5426,15342,-38807,deacmesf,forex
16/08/22,51308,80199,-1025,2834,-28891,deacmesf,forex
09/08/22,52333,77365,1900,-15821,-25032,deacmesf,forex
02/08/22,50433,93186,6621,-12107,-42753,deacmesf,forex
26/07/22,43812,105293,932,3188,-61481,deacmesf,forex
19/07/22,42880,102105,7347,6574,-59225,deacmesf,forex
12/07/22,35533,95531,-3127,2426,-59998,deacmesf,forex
05/07/22,38660,93105,2198,4073,-54445,deacmesf,forex
28/06/22,36462,89032,598,-5286,-52570,deacmesf,forex
21/06/22,35864,94318,3423,-7878,-58454,deacmesf,forex
14/06/22,32441,102196,13975,-7916,-69755,deacmesf,forex
07/06/22,18466,110112,3265,472,-91646,deacmesf,forex
31/05/22,15201,109640,-1366,-6371,-94439,deacmesf,forex
24/05/22,16567,116011,4454,1589,-99444,deacmesf,forex
17/05/22,12113,114422,917,-7228,-102309,deacmesf,forex
10/05/22,11196,121650,-7389,2271,-110454,deacmesf,forex
03/05/22,18585,119379,4316,9575,-100794,deacmesf,forex
26/04/22,14269,109804,1546,-10106,-95535,deacmesf,forex
19/04/22,12723,119910,2798,-1842,-107187,deacmesf,forex
12/04/22,9925,121752,-4658,3340,-111827,deacmesf,forex
05/04/22,14583,118412,-691,1007,-103829,deacmesf,forex
29/03/22,15274,117405,-21402,2247,-102131,deacmesf,forex
22/03/22,36676,115158,2660,18802,-78482,deacmesf,forex
15/03/22,34016,96356,18468,24952,-62340,deacmesf,forex
08/03/22,15548,71404,883,-11993,-55856,deacmesf,forex
01/03/22,14665,83397,3689,9234,-68732,deacmesf,forex
22/02/22,10976,74163,551,-2424,-63187,deacmesf,forex
15/02/22,10425,76587,-5267,1747,-66162,deacmesf,forex
08/02/22,15692,74840,1182,-310,-59148,deacmesf,forex
01/02/22,14510,75150,-1356,-8989,-60640,deacmesf,forex
25/01/22,15866,84139,7864,-4742,-68273,deacmesf,forex
18/01/22,8002,88881,-14362,-21008,-80879,deacmesf,forex
11/01/22,22364,109889,-18452,6811,-87525,deacmesf,forex
04/01/22,40816,103078,8341,17501,-62262,deacmesf,forex
