Date,Long,Short,Change long,Change short,Net position,url_report,type
07/03/23,177503,208755,7734,3841,-31252,deacmesf,forex
28/02/23,169769,204914,17094,15366,-35145,deacmesf,forex
21/02/23,152675,189548,-695,-3489,-36873,deacmesf,forex
14/02/23,153370,193037,14599,9988,-39667,deacmesf,forex
07/02/23,138771,183049,-18179,-19171,-44278,deacmesf,forex
31/01/23,156950,202220,8685,5215,-45270,deacmesf,forex
24/01/23,148265,197005,-2278,-2177,-48740,deacmesf,forex
17/01/23,150543,199182,1026,-3716,-48639,deacmesf,forex
10/01/23,149517,202898,18316,15321,-53381,deacmesf,forex
03/01/23,131201,187577,5310,9960,-56376,deacmesf,forex
27/12/22,125891,177617,1417,-1953,-51726,deacmesf,forex
20/12/22,124474,179570,-44007,55453,-55096,deacmesf,forex
13/12/22,168481,124117,-9074,-5486,44364,deacmesf,forex
06/12/22,177555,129603,-22189,-4055,47952,deacmesf,forex
29/11/22,199744,133658,11298,8531,66086,deacmesf,forex
22/11/22,188446,125127,-9254,-4722,63319,deacmesf,forex
15/11/22,197700,129849,5676,-2561,67851,deacmesf,forex
08/11/22,192024,132410,9708,-5861,59614,deacmesf,forex
01/11/22,182316,138271,20758,-10713,44045,deacmesf,forex
25/10/22,161558,148984,28126,-6742,12574,deacmesf,forex
18/10/22,133432,155726,13193,1833,-22294,deacmesf,forex
11/10/22,120239,153893,11613,7946,-33654,deacmesf,forex
04/10/22,108626,145947,20903,16902,-37321,deacmesf,forex
27/09/22,87723,129045,-8948,4341,-41322,deacmesf,forex
20/09/22,96671,124704,-7101,-4449,-28033,deacmesf,forex
13/09/22,103772,129153,6660,2581,-25381,deacmesf,forex
06/09/22,97112,126572,-6511,-6081,-29460,deacmesf,forex
30/08/22,103623,132653,567,-1719,-29030,deacmesf,forex
23/08/22,103056,134372,-5586,4359,-31316,deacmesf,forex
16/08/22,108642,130013,13070,6820,-21371,deacmesf,forex
09/08/22,95572,123193,-5843,-1275,-27621,deacmesf,forex
02/08/22,101415,124468,4663,-2182,-23053,deacmesf,forex
26/07/22,96752,126650,-1213,-2075,-29898,deacmesf,forex
19/07/22,97965,128725,-6750,772,-30760,deacmesf,forex
12/07/22,104715,127953,-2426,6394,-23238,deacmesf,forex
05/07/22,107141,121559,110,548,-14418,deacmesf,forex
28/06/22,107031,121011,10884,-2006,-13980,deacmesf,forex
21/06/22,96147,123017,-17946,-17457,-26870,deacmesf,forex
14/06/22,114093,140474,-5069,54038,-26381,deacmesf,forex
07/06/22,119162,86436,4682,7405,32726,deacmesf,forex
31/05/22,114480,79031,31449,25792,35449,deacmesf,forex
24/05/22,83031,53239,5212,3635,29792,deacmesf,forex
17/05/22,77819,49604,13898,2408,28215,deacmesf,forex
10/05/22,63921,47196,61,-2041,16725,deacmesf,forex
03/05/22,63860,49237,-3529,1974,14623,deacmesf,forex
26/04/22,67389,47263,-6321,-4783,20126,deacmesf,forex
19/04/22,73710,52046,-7872,-14576,21664,deacmesf,forex
12/04/22,81582,66622,2854,-11196,14960,deacmesf,forex
05/04/22,78728,77818,3647,-5510,910,deacmesf,forex
29/03/22,75081,83328,16931,7127,-8247,deacmesf,forex
22/03/22,58150,76201,18986,26461,-18051,deacmesf,forex
15/03/22,39164,49740,-36856,26737,-10576,deacmesf,forex
08/03/22,76020,23003,1049,-9590,53017,deacmesf,forex
01/03/22,74971,32593,2125,-23428,42378,deacmesf,forex
22/02/22,72846,56021,13361,5510,16825,deacmesf,forex
15/02/22,59485,50511,14388,6658,8974,deacmesf,forex
08/02/22,45097,43853,-8670,-9184,1244,deacmesf,forex
01/02/22,53767,53037,-12682,-14202,730,deacmesf,forex
25/01/22,66449,67239,-9012,-3302,-790,deacmesf,forex
18/01/22,75461,70541,22267,12896,4920,deacmesf,forex
11/01/22,53194,57645,8318,3279,-4451,deacmesf,forex
04/01/22,44876,54366,11315,11797,-9490,deacmesf,forex
