Date,Long,Short,Change long,Change short,Net position,url_report,type
01/11/22,21115,24962,5476,-3561,-3847,deacmesf,forex
25/10/22,15639,28523,5311,-250,-12884,deacmesf,forex
18/10/22,10328,28773,-1566,-2163,-18445,deacmesf,forex
11/10/22,11894,30936,-3072,1992,-19042,deacmesf,forex
04/10/22,14966,28944,2679,5186,-13978,deacmesf,forex
27/09/22,12287,23758,641,-477,-11471,deacmesf,forex
20/09/22,11646,24235,-6303,985,-12589,deacmesf,forex
13/09/22,17949,23250,784,3339,-5301,deacmesf,forex
06/09/22,17165,19911,758,380,-2746,deacmesf,forex
30/08/22,16407,19531,-382,1268,-3124,deacmesf,forex
23/08/22,16789,18263,-1623,1620,-1474,deacmesf,forex
16/08/22,18412,16643,188,-1857,1769,deacmesf,forex
09/08/22,18224,18500,1703,406,-276,deacmesf,forex
02/08/22,16521,18094,-790,-3403,-1573,deacmesf,forex
26/07/22,17311,21497,1520,2035,-4186,deacmesf,forex
19/07/22,15791,19462,865,-747,-3671,deacmesf,forex
12/07/22,14926,20209,1292,-481,-5283,deacmesf,forex
05/07/22,13634,20690,1914,3659,-7056,deacmesf,forex
28/06/22,11720,17031,-2932,-3044,-5311,deacmesf,forex
21/06/22,14652,20075,-242,-1657,-5423,deacmesf,forex
14/06/22,14894,21732,2584,-10349,-6838,deacmesf,forex
07/06/22,12310,32081,3131,4178,-19771,deacmesf,forex
31/05/22,9179,27903,-1570,-2167,-18724,deacmesf,forex
24/05/22,10749,30070,-4249,-2695,-19321,deacmesf,forex
17/05/22,14998,32765,-205,4566,-17767,deacmesf,forex
10/05/22,15203,28199,-2224,4162,-12996,deacmesf,forex
03/05/22,17427,24037,-4658,2018,-6610,deacmesf,forex
26/04/22,22085,22019,3004,3303,66,deacmesf,forex
19/04/22,19081,18716,2786,2132,365,deacmesf,forex
12/04/22,16295,16584,867,-413,-289,deacmesf,forex
05/04/22,15428,16997,-76,626,-1569,deacmesf,forex
29/03/22,15504,16371,-1652,1735,-867,deacmesf,forex
22/03/22,17156,14636,-4337,-3204,2520,deacmesf,forex
15/03/22,21493,17840,5718,-10314,3653,deacmesf,forex
08/03/22,15775,28154,5290,3497,-12379,deacmesf,forex
01/03/22,10485,24657,-6858,-4237,-14172,deacmesf,forex
22/02/22,17343,28894,-7580,-5362,-11551,deacmesf,forex
15/02/22,24923,34256,7755,6722,-9333,deacmesf,forex
08/02/22,17168,27534,-2037,-3369,-10366,deacmesf,forex
01/02/22,19205,30903,3257,4182,-11698,deacmesf,forex
25/01/22,15948,26721,4336,6778,-10773,deacmesf,forex
18/01/22,11612,19943,652,379,-8331,deacmesf,forex
11/01/22,10960,19564,1543,1302,-8604,deacmesf,forex
04/01/22,9417,18262,-1814,-1390,-8845,deacmesf,forex
