Date,Long,Short,Change long,Change short,Net position,url_report,type
06/12/22,36157,11271,-1122,-1116,24886,deanybtsf,forex
29/11/22,37279,12387,-1031,-1858,24892,deanybtsf,forex
22/11/22,38310,14245,-655,2134,24065,deanybtsf,forex
15/11/22,38965,12111,-3922,-583,26854,deanybtsf,forex
08/11/22,42887,12694,583,178,30193,deanybtsf,forex
01/11/22,42304,12516,-2694,-2384,29788,deanybtsf,forex
25/10/22,44998,14900,42,2634,30098,deanybtsf,forex
18/10/22,44956,12266,-123,-27,32690,deanybtsf,forex
11/10/22,45079,12293,630,-459,32786,deanybtsf,forex
04/10/22,44449,12752,-2975,-4110,31697,deanybtsf,forex
27/09/22,47424,16862,1720,-911,30562,deanybtsf,forex
20/09/22,45704,17773,-3280,4458,27931,deanybtsf,forex
13/09/22,48984,13315,-3623,-3185,35669,deanybtsf,forex
06/09/22,52607,16500,935,343,36107,deanybtsf,forex
30/08/22,51672,16157,2361,1945,35515,deanybtsf,forex
23/08/22,49311,14212,-1471,1391,35099,deanybtsf,forex
16/08/22,50782,12821,44,720,37961,deanybtsf,forex
09/08/22,50738,12101,2820,3530,38637,deanybtsf,forex
02/08/22,47918,8571,-3419,-2231,39347,deanybtsf,forex
26/07/22,51337,10802,1103,-363,40535,deanybtsf,forex
19/07/22,50234,11165,-875,-1590,39069,deanybtsf,forex
12/07/22,51109,12755,-1818,-921,38354,deanybtsf,forex
05/07/22,52927,13676,-1719,2259,39251,deanybtsf,forex
28/06/22,54646,11417,3040,4821,43229,deanybtsf,forex
21/06/22,51606,6596,-1527,-2061,45010,deanybtsf,forex
14/06/22,53133,8657,-2327,-8865,44476,deanybtsf,forex
07/06/22,55460,17522,601,201,37938,deanybtsf,forex
31/05/22,54859,17321,1184,1685,37538,deanybtsf,forex
24/05/22,53675,15636,156,-1670,38039,deanybtsf,forex
17/05/22,53519,17306,3655,2218,36213,deanybtsf,forex
10/05/22,49864,15088,3600,1895,34776,deanybtsf,forex
03/05/22,46264,13193,-3409,-2601,33071,deanybtsf,forex
26/04/22,49673,15794,2988,1689,33879,deanybtsf,forex
19/04/22,46685,14105,2382,-561,32580,deanybtsf,forex
12/04/22,44303,14666,3265,5480,29637,deanybtsf,forex
05/04/22,41038,9186,-3932,-4843,31852,deanybtsf,forex
29/03/22,44970,14029,1409,103,30941,deanybtsf,forex
22/03/22,43561,13926,3794,2539,29635,deanybtsf,forex
15/03/22,39767,11387,-6264,-600,28380,deanybtsf,forex
08/03/22,46031,11987,2270,3000,34044,deanybtsf,forex
01/03/22,43761,8987,35,1345,34774,deanybtsf,forex
22/02/22,43726,7642,1377,679,36084,deanybtsf,forex
15/02/22,42349,6963,1979,358,35386,deanybtsf,forex
08/02/22,40370,6605,-3527,-2721,33765,deanybtsf,forex
01/02/22,43897,9326,2125,4415,34571,deanybtsf,forex
25/01/22,41772,4911,-597,-1024,36861,deanybtsf,forex
18/01/22,42369,5935,-3503,-2045,36434,deanybtsf,forex
11/01/22,45872,7980,-1878,-692,37892,deanybtsf,forex
04/01/22,47750,8672,581,-1708,39078,deanybtsf,forex
