Date,Long,Short,Change long,Change short,Net position,url_report,type
21/03/23,9181,22157,-1204,-1373,-12976,deacmesf,forex
14/03/23,10385,23530,-7667,3489,-13145,deacmesf,forex
07/03/23,18052,20041,2487,2903,-1989,deacmesf,forex
28/02/23,15565,17138,7180,9688,-1573,deacmesf,forex
21/02/23,8385,7450,3301,3247,935,deacmesf,forex
14/02/23,5084,4203,1656,2499,881,deacmesf,forex
07/02/23,3428,1704,734,637,1724,deacmesf,forex
31/01/23,2694,1067,-2639,-3062,1627,deacmesf,forex
24/01/23,5333,4129,-2228,-2682,1204,deacmesf,forex
17/01/23,7561,6811,94,1535,750,deacmesf,forex
10/01/23,7467,5276,4061,2632,2191,deacmesf,forex
03/01/23,3406,2644,54,353,762,deacmesf,forex
27/12/22,3352,2291,-1526,-1153,1061,deacmesf,forex
20/12/22,4878,3444,670,341,1434,deacmesf,forex
13/12/22,4208,3103,-87,-1672,1105,deacmesf,forex
06/12/22,4295,4775,-4341,-4876,-480,deacmesf,forex
29/11/22,8636,9651,-2005,-2112,-1015,deacmesf,forex
22/11/22,10641,11763,-2132,-1948,-1122,deacmesf,forex
15/11/22,12773,13711,-1012,-1102,-938,deacmesf,forex
08/11/22,13785,14813,353,1256,-1028,deacmesf,forex
01/11/22,13432,13557,3312,6114,-125,deacmesf,forex
25/10/22,10120,7443,3422,4955,2677,deacmesf,forex
18/10/22,6698,2488,488,644,4210,deacmesf,forex
11/10/22,6210,1844,-451,-531,4366,deacmesf,forex
04/10/22,6661,2375,-978,-1168,4286,deacmesf,forex
27/09/22,7639,3543,-36,1088,4096,deacmesf,forex
20/09/22,7675,2455,-2168,-754,5220,deacmesf,forex
13/09/22,9843,3209,-491,-10,6634,deacmesf,forex
06/09/22,10334,3219,345,71,7115,deacmesf,forex
30/08/22,9989,3148,195,239,6841,deacmesf,forex
23/08/22,9794,2909,1062,102,6885,deacmesf,forex
16/08/22,8732,2807,-3627,-3614,5925,deacmesf,forex
09/08/22,12359,6421,-654,-204,5938,deacmesf,forex
02/08/22,13013,6625,-547,-286,6388,deacmesf,forex
26/07/22,13560,6911,-504,2386,6649,deacmesf,forex
19/07/22,14064,4525,-5380,-1390,9539,deacmesf,forex
12/07/22,19444,5915,-6529,2655,13529,deacmesf,forex
05/07/22,25973,3260,-135,-269,22713,deacmesf,forex
28/06/22,26108,3529,-2187,-2383,22579,deacmesf,forex
21/06/22,28295,5912,139,-449,22383,deacmesf,forex
14/06/22,28156,6361,6008,-1580,21795,deacmesf,forex
07/06/22,22148,7941,3595,3053,14207,deacmesf,forex
31/05/22,18553,4888,525,572,13665,deacmesf,forex
24/05/22,18028,4316,-1182,-1521,13712,deacmesf,forex
17/05/22,19210,5837,721,890,13373,deacmesf,forex
10/05/22,18489,4947,849,2645,13542,deacmesf,forex
03/05/22,17640,2302,-3983,-3828,15338,deacmesf,forex
26/04/22,21623,6130,-2705,-2672,15493,deacmesf,forex
19/04/22,24328,8802,2130,948,15526,deacmesf,forex
12/04/22,22198,7854,1007,400,14344,deacmesf,forex
05/04/22,21191,7454,1651,1596,13737,deacmesf,forex
29/03/22,19540,5858,2073,1504,13682,deacmesf,forex
22/03/22,17467,4354,1743,2032,13113,deacmesf,forex
15/03/22,15724,2322,1046,-12595,13402,deacmesf,forex
08/03/22,14678,14917,-202,2413,-239,deacmesf,forex
01/03/22,14880,12504,962,328,2376,deacmesf,forex
22/02/22,13918,12176,1338,2394,1742,deacmesf,forex
15/02/22,12580,9782,-2864,-2363,2798,deacmesf,forex
08/02/22,15444,12145,4721,4242,3299,deacmesf,forex
01/02/22,10723,7903,906,269,2820,deacmesf,forex
25/01/22,9817,7634,3667,3337,2183,deacmesf,forex
18/01/22,6150,4297,1544,1452,1853,deacmesf,forex
11/01/22,4606,2845,1317,-251,1761,deacmesf,forex
04/01/22,3289,3096,-521,-706,193,deacmesf,forex
