Date,Long,Short,Change long,Change short,Net position
11/10/22,48979,88149,6901,-3468,-39170
04/10/22,42078,91617,-17753,-14638,-49539
27/09/22,59831,106255,18542,10123,-46424
20/09/22,41289,96132,160,-13083,-54843
13/09/22,41129,109215,-11602,6052,-68086
06/09/22,52731,103163,-5746,15516,-50432
30/08/22,58477,87647,-306,898,-29170
23/08/22,58783,86749,14699,9556,-27966
16/08/22,44084,77193,1865,506,-33109
09/08/22,42219,76687,12914,-9027,-34468
02/08/22,29305,85714,-5301,-2882,-56409
26/07/22,34606,88596,2663,-597,-53990
19/07/22,31943,89193,-1907,-3746,-57250
12/07/22,33850,92939,-5768,-2887,-59089
05/07/22,39618,95826,4434,7524,-56208
28/06/22,35184,88302,6714,-3415,-53118
21/06/22,28470,91717,-873,-3222,-63247
14/06/22,29343,94939,-5275,-10489,-65596
07/06/22,34618,105428,3830,535,-70810
31/05/22,30788,104893,4852,-1415,-74105
24/05/22,25936,106308,-677,454,-80372
17/05/22,26613,105854,-2856,-3213,-79241
10/05/22,29469,109067,-4067,1718,-79598
03/05/22,33536,107349,-6900,-2708,-73813
26/04/22,40436,110057,3625,14332,-69621
19/04/22,36811,95725,1297,7157,-58914
12/04/22,35514,88568,-359,10937,-53054
05/04/22,35873,77631,5249,6937,-41758
29/03/22,30624,70694,-2129,697,-40070
22/03/22,32753,69997,311,8494,-37244
15/03/22,32442,61503,-18540,-2005,-29061
08/03/22,50982,63508,3303,15492,-12526
01/03/22,47679,48016,5430,-42,-337
22/02/22,42249,48058,-7902,144,-5809
15/02/22,50151,47914,5442,-5340,2237
08/02/22,44709,53254,15112,52,-8545
01/02/22,29597,53202,-7069,8773,-23605
25/01/22,36666,44429,-3094,4422,-7763
18/01/22,39760,40007,9254,-19665,-247
11/01/22,30506,59672,4526,-5479,-29166
04/01/22,25980,65151,2887,-8661,-39171
28/12/21,23093,73812,2269,-4698,-50719
21/12/21,20824,78510,-8673,-1735,-57686
14/12/21,29497,80245,-19453,-6982,-50748
07/12/21,48950,87227,-3149,-3771,-38277
30/11/21,52099,90998,1977,6297,-38899
23/11/21,50122,84701,-321,2659,-34579
16/11/21,50443,82042,-3561,15945,-31599
09/11/21,54004,66097,-3251,23889,-12093
02/11/21,57255,42208,5343,5249,15047
26/10/21,51912,36959,2800,-10538,14953
19/10/21,49112,47497,2318,-11276,1615
12/10/21,46794,58773,-1343,-9382,-11979
05/10/21,48137,68155,-9786,12196,-20018
28/09/21,57923,55959,6013,3831,1964
21/09/21,51910,52128,7749,12757,-218
14/09/21,44161,39371,14813,-14501,4790
07/09/21,29348,53872,-7196,2428,-24524
31/08/21,36544,51444,-2945,-4790,-14900
24/08/21,39489,56234,-2409,18987,-16745
17/08/21,41898,37247,-2852,-433,4651
10/08/21,44750,37680,1631,-5525,7070
03/08/21,43119,43205,1925,-3673,-86
27/07/21,41194,46878,-3029,-842,-5684
20/07/21,44223,47720,-463,11003,-3497
13/07/21,44686,36717,-12546,1388,7969
06/07/21,57232,35329,5636,1456,21903
29/06/21,51596,33873,151,355,17723
22/06/21,51445,33518,-3758,10485,17927
15/06/21,55203,23033,-4035,-8491,32170
08/06/21,59238,31524,-4966,-8555,27714
01/06/21,64204,40079,11,6545,24125
25/05/21,64193,33534,1166,-4593,30659
18/05/21,63027,38127,-1920,1356,24900
11/05/21,64947,36771,12685,4357,28176
04/05/21,52262,32414,-7655,1715,19848
27/04/21,59917,30699,-1136,-5176,29218
20/04/21,61053,35875,8202,8614,25178
13/04/21,52851,27261,7581,1942,25590
06/04/21,45270,25319,-1952,3056,19951
30/03/21,47222,22263,-4621,-7761,24959
23/03/21,51843,30024,-3347,3434,21819
16/03/21,55190,26590,-6081,-770,28600
09/03/21,61271,27360,-3867,-1696,33911
02/03/21,65138,29056,-3128,-8232,36082
23/02/21,68266,37288,7997,-814,30978
16/02/21,60269,38102,-244,-1293,22167
09/02/21,60513,39395,6855,-4647,21118
02/02/21,53658,44042,6298,4647,9616
26/01/21,47360,39395,1456,7196,7965
19/01/21,45904,32199,-2031,-2794,13705
12/01/21,47935,34993,12409,3132,12942
05/01/21,35526,31861,-209,958,3665
