Date,Long,Short,Change long,Change short,Net position,url_report,type
30/05/23,21084,42662,-982,-2136,-21578,deacbtsf,index
23/05/23,22066,44798,-2419,-1332,-22732,deacbtsf,index
16/05/23,24485,46130,-692,950,-21645,deacbtsf,index
09/05/23,25177,45180,-756,-1744,-20003,deacbtsf,index
02/05/23,25933,46924,3104,-1578,-20991,deacbtsf,index
25/04/23,22829,48502,3933,5209,-25673,deacbtsf,index
18/04/23,18896,43293,1486,4237,-24397,deacbtsf,index
11/04/23,17410,39056,3108,1129,-21646,deacbtsf,index
04/04/23,14302,37927,2112,2168,-23625,deacbtsf,index
28/03/23,12190,35759,-3414,-1993,-23569,deacbtsf,index
21/03/23,15604,37752,-4592,-2524,-22148,deacbtsf,index
14/03/23,20196,40276,-6988,387,-20080,deacbtsf,index
07/03/23,27184,39889,1568,-1732,-12705,deacbtsf,index
28/02/23,25616,41621,-1728,-1968,-16005,deacbtsf,index
21/02/23,27344,43589,-1167,8340,-16245,deacbtsf,index
14/02/23,28511,35249,1377,1832,-6738,deacbtsf,index
07/02/23,27134,33417,5795,2650,-6283,deacbtsf,index
31/01/23,21339,30767,233,-305,-9428,deacbtsf,index
24/01/23,21106,31072,-4741,-5388,-9966,deacbtsf,index
17/01/23,25847,36460,-96,1375,-10613,deacbtsf,index
10/01/23,25943,35085,695,-2054,-9142,deacbtsf,index
03/01/23,25248,37139,1775,1621,-11891,deacbtsf,index
27/12/22,23473,35518,-1579,4023,-12045,deacbtsf,index
20/12/22,25052,31495,1641,-4458,-6443,deacbtsf,index
13/12/22,23411,35953,1433,2372,-12542,deacbtsf,index
06/12/22,21978,33581,762,6223,-11603,deacbtsf,index
29/11/22,21216,27358,547,298,-6142,deacbtsf,index
22/11/22,20669,27060,5665,1446,-6391,deacbtsf,index
15/11/22,15004,25614,-6248,-3981,-10610,deacbtsf,index
08/11/22,21252,29595,730,876,-8343,deacbtsf,index
01/11/22,20522,28719,4363,-1310,-8197,deacbtsf,index
25/10/22,16159,30029,1938,-1042,-13870,deacbtsf,index
18/10/22,14221,31071,-914,2186,-16850,deacbtsf,index
11/10/22,15135,28885,1948,-803,-13750,deacbtsf,index
04/10/22,13187,29688,-1122,-3851,-16501,deacbtsf,index
27/09/22,14309,33539,-1007,2789,-19230,deacbtsf,index
20/09/22,15316,30750,-5346,-1598,-15434,deacbtsf,index
13/09/22,20662,32348,-2568,-490,-11686,deacbtsf,index
06/09/22,23230,32838,-3494,4694,-9608,deacbtsf,index
30/08/22,26724,28144,1246,-1928,-1420,deacbtsf,index
23/08/22,25478,30072,2263,-108,-4594,deacbtsf,index
16/08/22,23215,30180,3207,-2538,-6965,deacbtsf,index
09/08/22,20008,32718,3847,-1864,-12710,deacbtsf,index
02/08/22,16161,34582,206,-2558,-18421,deacbtsf,index
26/07/22,15955,37140,-1612,3736,-21185,deacbtsf,index
19/07/22,17567,33404,3893,-113,-15837,deacbtsf,index
12/07/22,13674,33517,2621,-619,-19843,deacbtsf,index
05/07/22,11053,34136,2042,52,-23083,deacbtsf,index
28/06/22,9011,34084,-1299,-1699,-25073,deacbtsf,index
21/06/22,10310,35783,-4184,-1000,-25473,deacbtsf,index
14/06/22,14494,36783,-680,1170,-22289,deacbtsf,index
07/06/22,15174,35613,974,-4704,-20439,deacbtsf,index
31/05/22,14200,40317,-1155,890,-26117,deacbtsf,index
24/05/22,15355,39427,804,1388,-24072,deacbtsf,index
17/05/22,14551,38039,1315,1645,-23488,deacbtsf,index
10/05/22,13236,36394,175,4152,-23158,deacbtsf,index
03/05/22,13061,32242,311,-2293,-19181,deacbtsf,index
26/04/22,12750,34535,-2808,4194,-21785,deacbtsf,index
19/04/22,15558,30341,6651,-1478,-14783,deacbtsf,index
12/04/22,8907,31819,-1189,3996,-22912,deacbtsf,index
05/04/22,10096,27823,2357,660,-17727,deacbtsf,index
29/03/22,7739,27163,-3080,1499,-19424,deacbtsf,index
22/03/22,10819,25664,-4493,-1756,-14845,deacbtsf,index
15/03/22,15312,27420,-2049,-1858,-12108,deacbtsf,index
08/03/22,17361,29278,-62,-3615,-11917,deacbtsf,index
01/03/22,17423,32893,-993,1162,-15470,deacbtsf,index
22/02/22,18416,31731,-2694,1271,-13315,deacbtsf,index
15/02/22,21110,30460,-2947,-460,-9350,deacbtsf,index
08/02/22,24057,30920,-400,-3114,-6863,deacbtsf,index
01/02/22,24457,34034,-1472,-2172,-9577,deacbtsf,index
25/01/22,25929,36206,1305,1238,-10277,deacbtsf,index
18/01/22,24624,34968,-7779,-238,-10344,deacbtsf,index
11/01/22,32403,35206,-9480,557,-2803,deacbtsf,index
04/01/22,41883,34649,6267,-2125,7234,deacbtsf,index
