Date,Long,Short,Change long,Change short,Net position,url_report,type
30/05/23,87244,78732,8270,14267,8512,deacmesf,index
23/05/23,78974,64465,-2048,3407,14509,deacmesf,index
16/05/23,81022,61058,834,2257,19964,deacmesf,index
09/05/23,80188,58801,6645,-1452,21387,deacmesf,index
02/05/23,73543,60253,8736,576,13290,deacmesf,index
25/04/23,64807,59677,6054,3597,5130,deacmesf,index
18/04/23,58753,56080,7146,2343,2673,deacmesf,index
11/04/23,51607,53737,12792,-3463,-2130,deacmesf,index
04/04/23,38815,57200,-12494,-1457,-18385,deacmesf,index
28/03/23,51309,58657,-1754,474,-7348,deacmesf,index
21/03/23,53063,58183,-8070,-9422,-5120,deacmesf,index
14/03/23,61133,67605,5547,-406,-6472,deacmesf,index
07/03/23,55586,68011,1640,-9764,-12425,deacmesf,index
28/02/23,53946,77775,-3903,5857,-23829,deacmesf,index
21/02/23,57849,71918,3840,-4915,-14069,deacmesf,index
14/02/23,54009,76833,-4301,3604,-22824,deacmesf,index
07/02/23,58310,73229,-1129,-2068,-14919,deacmesf,index
31/01/23,59439,75297,-802,-10205,-15858,deacmesf,index
24/01/23,60241,85502,-1380,3248,-25261,deacmesf,index
17/01/23,61621,82254,4553,17035,-20633,deacmesf,index
10/01/23,57068,65219,-2734,6779,-8151,deacmesf,index
03/01/23,59802,58440,-3961,-4151,1362,deacmesf,index
27/12/22,63763,62591,1274,4618,1172,deacmesf,index
20/12/22,62489,57973,-10614,4068,4516,deacmesf,index
13/12/22,73103,53905,4366,-1315,19198,deacmesf,index
06/12/22,68737,55220,766,-2996,13517,deacmesf,index
29/11/22,67971,58216,606,-6103,9755,deacmesf,index
22/11/22,67365,64319,-802,-9104,3046,deacmesf,index
15/11/22,68167,73423,-10145,-7303,-5256,deacmesf,index
08/11/22,78312,80726,3666,-9169,-2414,deacmesf,index
01/11/22,74646,89895,-7845,13104,-15249,deacmesf,index
25/10/22,82491,76791,2970,-1215,5700,deacmesf,index
18/10/22,79521,78006,-5394,1619,1515,deacmesf,index
11/10/22,84915,76387,15119,2830,8528,deacmesf,index
04/10/22,69796,73557,-4935,-1222,-3761,deacmesf,index
27/09/22,74731,74779,990,4523,-48,deacmesf,index
20/09/22,73741,70256,-1538,6783,3485,deacmesf,index
13/09/22,75279,63473,-10151,89,11806,deacmesf,index
06/09/22,85430,63384,8051,12812,22046,deacmesf,index
30/08/22,77379,50572,-6908,4318,26807,deacmesf,index
23/08/22,84287,46254,5886,-25301,38033,deacmesf,index
16/08/22,78401,71555,4462,18691,6846,deacmesf,index
09/08/22,73939,52864,-979,2658,21075,deacmesf,index
02/08/22,74918,50206,-8573,-1476,24712,deacmesf,index
26/07/22,83491,51682,6665,2973,31809,deacmesf,index
19/07/22,76826,48709,-146,-8847,28117,deacmesf,index
12/07/22,76972,57556,-6542,4937,19416,deacmesf,index
05/07/22,83514,52619,4527,-2178,30895,deacmesf,index
28/06/22,78987,54797,-3901,2715,24190,deacmesf,index
21/06/22,82888,52082,-5481,-7885,30806,deacmesf,index
14/06/22,88369,59967,4892,-6507,28402,deacmesf,index
07/06/22,83477,66474,9039,-2353,17003,deacmesf,index
31/05/22,74438,68827,-571,7543,5611,deacmesf,index
24/05/22,75009,61284,5221,6670,13725,deacmesf,index
17/05/22,69788,54614,566,-1139,15174,deacmesf,index
10/05/22,69222,55753,2145,4768,13469,deacmesf,index
03/05/22,67077,50985,-945,-1204,16092,deacmesf,index
26/04/22,68022,52189,2286,-5398,15833,deacmesf,index
19/04/22,65736,57587,-2470,2370,8149,deacmesf,index
12/04/22,68206,55217,9555,-12068,12989,deacmesf,index
05/04/22,58651,67285,9632,7039,-8634,deacmesf,index
29/03/22,49019,60246,-7657,6382,-11227,deacmesf,index
22/03/22,56676,53864,-11583,4579,2812,deacmesf,index
15/03/22,68259,49285,-7102,540,18974,deacmesf,index
08/03/22,75361,48745,13909,-570,26616,deacmesf,index
01/03/22,61452,49315,-13890,-12118,12137,deacmesf,index
22/02/22,75342,61433,7322,2755,13909,deacmesf,index
15/02/22,68020,58678,978,-392,9342,deacmesf,index
08/02/22,67042,59070,-4137,-13098,7972,deacmesf,index
01/02/22,71179,72168,-16730,14361,-989,deacmesf,index
25/01/22,87909,57807,-684,-580,30102,deacmesf,index
18/01/22,88593,58387,12518,3583,30206,deacmesf,index
11/01/22,76075,54804,6523,6977,21271,deacmesf,index
04/01/22,69552,47827,237,-7384,21725,deacmesf,index
