Date,Long,Short,Change long,Change short,Net position,url_report,type
06/12/22,230914,434633,-12537,-12994,-203719,deacmesf,index
29/11/22,243451,447627,-1252,11432,-204176,deacmesf,index
22/11/22,244703,436195,-13262,-24415,-191492,deacmesf,index
15/11/22,257965,460610,-5576,20010,-202645,deacmesf,index
08/11/22,263541,440600,-14877,-12881,-177059,deacmesf,index
01/11/22,278418,453481,37601,-6438,-175063,deacmesf,index
25/10/22,240817,459919,166,-3930,-219102,deacmesf,index
18/10/22,240651,463849,-11060,48081,-223198,deacmesf,index
11/10/22,251711,415768,26040,-19200,-164057,deacmesf,index
04/10/22,225671,434968,-37126,21970,-209297,deacmesf,index
27/09/22,262797,412998,41639,-27611,-150201,deacmesf,index
20/09/22,221158,440609,-13637,-75190,-219451,deacmesf,index
13/09/22,234795,515799,8421,50705,-281004,deacmesf,index
06/09/22,226374,465094,-14279,-15191,-238720,deacmesf,index
30/08/22,240653,480285,14339,-8305,-239632,deacmesf,index
23/08/22,226314,488590,-1056,-26764,-262276,deacmesf,index
16/08/22,227370,515354,306,44029,-287984,deacmesf,index
09/08/22,227064,471325,-10530,1846,-244261,deacmesf,index
02/08/22,237594,469479,-3048,-8798,-231885,deacmesf,index
26/07/22,240642,478277,-9745,19742,-237635,deacmesf,index
19/07/22,250387,458535,25810,18430,-208148,deacmesf,index
12/07/22,224577,440105,-12793,19053,-215528,deacmesf,index
05/07/22,237370,421052,-10943,33513,-183682,deacmesf,index
28/06/22,248313,387539,-25316,-409,-139226,deacmesf,index
21/06/22,273629,387948,-104338,44259,-114319,deacmesf,index
14/06/22,377967,343689,57646,6344,34278,deacmesf,index
07/06/22,320321,337345,-6658,32273,-17024,deacmesf,index
31/05/22,326979,305072,-24671,2310,21907,deacmesf,index
24/05/22,351650,302762,-8,17750,48888,deacmesf,index
17/05/22,351658,285012,-32331,22798,66646,deacmesf,index
10/05/22,383989,262214,23040,-46528,121775,deacmesf,index
03/05/22,360949,308742,-1650,68893,52207,deacmesf,index
26/04/22,362599,239849,47681,-6640,122750,deacmesf,index
19/04/22,314918,246489,664,-4801,68429,deacmesf,index
12/04/22,314254,251290,20068,-74555,62964,deacmesf,index
05/04/22,294186,325845,7251,-11945,-31659,deacmesf,index
29/03/22,286935,337790,2785,-528,-50855,deacmesf,index
22/03/22,284150,338318,-94349,62020,-54168,deacmesf,index
15/03/22,378499,276298,-20182,5270,102201,deacmesf,index
08/03/22,398681,271028,-33482,-116,127653,deacmesf,index
01/03/22,432163,271144,-29102,46322,161019,deacmesf,index
22/02/22,461265,224822,29803,-11517,236443,deacmesf,index
15/02/22,431462,236339,39807,22271,195123,deacmesf,index
08/02/22,391655,214068,-11837,-30672,177587,deacmesf,index
01/02/22,403492,244740,-58987,9108,158752,deacmesf,index
25/01/22,462479,235632,54109,-47509,226847,deacmesf,index
18/01/22,408370,283141,18643,-29180,125229,deacmesf,index
11/01/22,389727,312321,-17979,13647,77406,deacmesf,index
04/01/22,407706,298674,4092,-1646,109032,deacmesf,index
