Date,Long,Short,Change long,Change short,Net position
11/10/22,30149,107542,3187,-1043,-77393
04/10/22,26962,108585,4256,3323,-81623
27/09/22,22706,105262,-12061,-10785,-82556
20/09/22,34767,116047,-4556,-3968,-81280
13/09/22,39323,120015,-16679,5824,-80692
06/09/22,56002,114191,1489,18147,-58189
30/08/22,54513,96044,-2221,503,-41531
23/08/22,56734,95541,5426,15342,-38807
16/08/22,51308,80199,-1025,2834,-28891
09/08/22,52333,77365,1900,-15821,-25032
02/08/22,50433,93186,6621,-12107,-42753
26/07/22,43812,105293,932,3188,-61481
19/07/22,42880,102105,7347,6574,-59225
12/07/22,35533,95531,-3127,2426,-59998
05/07/22,38660,93105,2198,4073,-54445
28/06/22,36462,89032,598,-5286,-52570
21/06/22,35864,94318,3423,-7878,-58454
14/06/22,32441,102196,13975,-7916,-69755
07/06/22,18466,110112,3265,472,-91646
31/05/22,15201,109640,-1366,-6371,-94439
24/05/22,16567,116011,4454,1589,-99444
17/05/22,12113,114422,917,-7228,-102309
10/05/22,11196,121650,-7389,2271,-110454
03/05/22,18585,119379,4316,9575,-100794
26/04/22,14269,109804,1546,-10106,-95535
19/04/22,12723,119910,2798,-1842,-107187
12/04/22,9925,121752,-4658,3340,-111827
05/04/22,14583,118412,-691,1007,-103829
29/03/22,15274,117405,-21402,2247,-102131
22/03/22,36676,115158,2660,18802,-78482
15/03/22,34016,96356,18468,24952,-62340
08/03/22,15548,71404,883,-11993,-55856
01/03/22,14665,83397,3689,9234,-68732
22/02/22,10976,74163,551,-2424,-63187
15/02/22,10425,76587,-5267,1747,-66162
08/02/22,15692,74840,1182,-310,-59148
01/02/22,14510,75150,-1356,-8989,-60640
25/01/22,15866,84139,7864,-4742,-68273
18/01/22,8002,88881,-14362,-21008,-80879
11/01/22,22364,109889,-18452,6811,-87525
04/01/22,40816,103078,8341,17501,-62262
28/12/21,32475,85577,10284,11100,-53102
21/12/21,22191,74477,1960,723,-52286
14/12/21,20231,73754,7083,-2475,-53523
07/12/21,13148,76229,-1437,-17222,-63081
30/11/21,14585,93451,-5700,-24087,-78866
23/11/21,20285,117538,-4350,-223,-97253
16/11/21,24635,117761,8195,-4030,-93126
09/11/21,16440,121791,-3897,-6170,-105351
02/11/21,20337,127961,-11150,-10562,-107624
26/10/21,31487,138523,-4226,76,-107036
19/10/21,35713,138447,-97,26003,-102734
12/10/21,35810,112444,4241,17181,-76634
05/10/21,31569,95263,-3759,-4825,-63694
28/09/21,35328,100088,12484,21173,-64760
21/09/21,22844,78915,1116,-3108,-56071
14/09/21,21728,82023,-7976,-10006,-60295
07/09/21,29704,92029,674,-131,-62325
31/08/21,29030,92160,2267,-1274,-63130
24/08/21,26763,93434,-769,2694,-66671
17/08/21,27532,90740,-9152,-6601,-63208
10/08/21,36684,97341,6275,11742,-60657
03/08/21,30409,85599,-2566,-7310,-55190
27/07/21,32975,92909,-2499,1704,-59934
20/07/21,35474,91205,-4966,-5485,-55731
13/07/21,40440,96690,8815,-4071,-56250
06/07/21,31625,100761,4245,3486,-69136
29/06/21,27380,97275,-6738,9295,-69895
22/06/21,34118,87980,11144,18156,-53862
15/06/21,22974,69824,-4274,5262,-46850
08/06/21,27248,64562,-2214,-12015,-37314
01/06/21,29462,76577,5299,2258,-47115
25/05/21,24163,74319,-802,-1594,-50156
18/05/21,24965,75913,-5526,3694,-50948
11/05/21,30491,72219,-717,-481,-41728
04/05/21,31208,72700,1535,-5482,-41492
27/04/21,29673,78182,3056,-8254,-48509
20/04/21,26617,86436,-1065,442,-59819
13/04/21,27682,85994,888,1211,-58312
06/04/21,26794,84783,2070,578,-57989
30/03/21,24724,84205,-2800,3156,-59481
23/03/21,27524,81049,1521,15678,-53525
16/03/21,26003,65371,-38024,7858,-39368
09/03/21,64027,57513,2768,15524,6514
02/03/21,61259,41989,-5411,3941,19270
23/02/21,66670,38048,-62,8498,28622
16/02/21,66732,29550,6013,3449,37182
09/02/21,60719,26101,-8883,1128,34618
02/02/21,69602,24973,6139,6502,44629
26/01/21,63463,18471,-680,4342,44992
19/01/21,64143,14129,286,792,50014
12/01/21,63857,13337,-5306,-5636,50520
05/01/21,69163,18973,5586,2746,50190
