Date,Long,Short,Change long,Change short,Net position,url_report,type
11/10/22,47939,40550,-3987,-2668,7389,deacmxsf,metals
04/10/22,51926,43218,1942,-6008,8708,deacmxsf,metals
27/09/22,49984,49226,-2339,-4737,758,deacmxsf,metals
20/09/22,52323,53963,-1050,-4050,-1640,deacmxsf,metals
13/09/22,53373,58013,1659,-6485,-4640,deacmxsf,metals
06/09/22,51714,64498,2246,6759,-12784,deacmxsf,metals
30/08/22,49468,57739,317,4088,-8271,deacmxsf,metals
23/08/22,49151,53651,1300,9308,-4500,deacmxsf,metals
16/08/22,47851,44343,-1013,-1642,3508,deacmxsf,metals
09/08/22,48864,45985,-356,-2261,2879,deacmxsf,metals
02/08/22,49220,48246,-5451,-10925,974,deacmxsf,metals
26/07/22,54671,59171,-1516,4344,-4500,deacmxsf,metals
19/07/22,56187,54827,1443,3287,1360,deacmxsf,metals
12/07/22,54744,51540,-97,1838,3204,deacmxsf,metals
05/07/22,54841,49702,1909,7661,5139,deacmxsf,metals
28/06/22,52932,42041,-1519,6009,10891,deacmxsf,metals
21/06/22,54451,36032,-2765,-7179,18419,deacmxsf,metals
14/06/22,57216,43211,2317,5716,14005,deacmxsf,metals
07/06/22,54899,37495,-646,-4053,17404,deacmxsf,metals
31/05/22,55545,41548,-3203,-3097,13997,deacmxsf,metals
24/05/22,58748,44645,-1109,902,14103,deacmxsf,metals
17/05/22,59857,43743,28,2996,16114,deacmxsf,metals
10/05/22,59829,40747,3065,12051,19082,deacmxsf,metals
03/05/22,56764,28696,-18,7320,28068,deacmxsf,metals
26/04/22,56782,21376,-12306,-1283,35406,deacmxsf,metals
19/04/22,69088,22659,2732,2289,46429,deacmxsf,metals
12/04/22,66356,20370,1420,468,45986,deacmxsf,metals
05/04/22,64936,19902,-981,2225,45034,deacmxsf,metals
29/03/22,65917,17677,-3362,-3655,48240,deacmxsf,metals
22/03/22,69279,21332,-4765,-1158,47947,deacmxsf,metals
15/03/22,74044,22490,-2521,-1778,51554,deacmxsf,metals
08/03/22,76565,24268,5330,-2019,52297,deacmxsf,metals
01/03/22,71235,26287,12405,-2241,44948,deacmxsf,metals
22/02/22,58830,28528,1919,-4827,30302,deacmxsf,metals
15/02/22,56911,33355,6,-4251,23556,deacmxsf,metals
08/02/22,56905,37606,-3818,-999,19299,deacmxsf,metals
01/02/22,60723,38605,-3200,6823,22118,deacmxsf,metals
25/01/22,63923,31782,-2062,-4503,32141,deacmxsf,metals
18/01/22,65985,36285,-208,-2360,29700,deacmxsf,metals
11/01/22,66193,38645,1085,4456,27548,deacmxsf,metals
04/01/22,65108,34189,1235,-3226,30919,deacmxsf,metals
