Date,Long,Short,Cloture long,Cloture short,Net position
04/10/22,14966,28944,2679,5186,-13978
27/09/22,12287,23758,641,-477,-11471
20/09/22,11646,24235,-6303,985,-12589
13/09/22,17949,23250,784,3339,-5301
06/09/22,17165,19911,758,380,-2746
30/08/22,16407,19531,-382,1268,-3124
23/08/22,16789,18263,-1623,1620,-1474
16/08/22,18412,16643,188,-1857,1769
09/08/22,18224,18500,1703,406,-276
02/08/22,16521,18094,-790,-3403,-1573
26/07/22,17311,21497,1520,2035,-4186
19/07/22,15791,19462,865,-747,-3671
12/07/22,14926,20209,1292,-481,-5283
05/07/22,13634,20690,1914,3659,-7056
28/06/22,11720,17031,-2932,-3044,-5311
21/06/22,14652,20075,-242,-1657,-5423
14/06/22,14894,21732,2584,-10349,-6838
07/06/22,12310,32081,3131,4178,-19771
31/05/22,9179,27903,-1570,-2167,-18724
24/05/22,10749,30070,-4249,-2695,-19321
17/05/22,14998,32765,-205,4566,-17767
10/05/22,15203,28199,-2224,4162,-12996
03/05/22,17427,24037,-4658,2018,-6610
26/04/22,22085,22019,3004,3303,66
19/04/22,19081,18716,2786,2132,365
12/04/22,16295,16584,867,-413,-289
05/04/22,15428,16997,-76,626,-1569
29/03/22,15504,16371,-1652,1735,-867
22/03/22,17156,14636,-4337,-3204,2520
15/03/22,21493,17840,5718,-10314,3653
08/03/22,15775,28154,5290,3497,-12379
01/03/22,10485,24657,-6858,-4237,-14172
22/02/22,17343,28894,-7580,-5362,-11551
15/02/22,24923,34256,7755,6722,-9333
08/02/22,17168,27534,-2037,-3369,-10366
01/02/22,19205,30903,3257,4182,-11698
25/01/22,15948,26721,4336,6778,-10773
18/01/22,11612,19943,652,379,-8331
11/01/22,10960,19564,1543,1302,-8604
04/01/22,9417,18262,-1814,-1390,-8845
28/12/21,11231,19652,181,2466,-8421
21/12/21,11050,17186,-2489,-2214,-6136
14/12/21,13539,19400,-18342,-1773,-5861
07/12/21,31881,21173,1416,1338,10708
30/11/21,30465,19835,2630,5939,10630
23/11/21,27835,13896,1447,1473,13939
16/11/21,26388,12423,1076,-7,13965
09/11/21,25312,12430,-2192,-1213,12882
02/11/21,27504,13643,3014,-1941,13861
26/10/21,24490,15584,3486,1020,8906
19/10/21,21004,14564,537,2845,6440
12/10/21,20467,11719,2580,1888,8748
05/10/21,17887,9831,-437,1753,8056
28/09/21,18324,8078,-1379,-3523,10246
21/09/21,19703,11601,2149,253,8102
14/09/21,17554,11348,-2520,-4863,6206
07/09/21,20074,16211,2382,-3622,3863
31/08/21,17692,19833,473,2252,-2141
24/08/21,17219,17581,545,672,-362
17/08/21,16674,16909,-621,-1418,-235
10/08/21,17295,18327,336,1043,-1032
03/08/21,16959,17284,-2546,-800,-325
27/07/21,19505,18084,-1166,459,1421
20/07/21,20671,17625,44,228,3046
13/07/21,20627,17397,1215,-254,3230
06/07/21,19412,17651,-502,861,1761
29/06/21,19914,16790,743,905,3124
22/06/21,19171,15885,705,684,3286
15/06/21,18466,15201,-3496,-1255,3265
08/06/21,21962,16456,-2722,-2301,5506
01/06/21,24684,18757,238,2896,5927
25/05/21,24446,15861,822,687,8585
18/05/21,23624,15174,-2753,-1859,8450
11/05/21,26377,17033,6,-750,9344
04/05/21,26371,17783,519,-1090,8588
27/04/21,25852,18873,4157,1500,6979
20/04/21,21695,17373,1968,166,4322
13/04/21,19727,17207,528,1146,2520
06/04/21,19199,16061,254,1162,3138
30/03/21,18945,14899,-1409,-731,4046
23/03/21,20354,15630,352,1657,4724
16/03/21,20002,13973,-12662,-1565,6029
09/03/21,32664,15538,839,121,17126
02/03/21,31825,15417,1403,-356,16408
23/02/21,30422,15773,179,-759,14649
16/02/21,30243,16532,1110,-1057,13711
09/02/21,29133,17589,-1368,-1265,11544
02/02/21,30501,18854,2324,5435,11647
26/01/21,28177,13419,180,1405,14758
19/01/21,27997,12014,1866,590,15983
12/01/21,26131,11424,-421,-3132,14707
05/01/21,26552,14556,-1287,-749,11996
