Date,Long,Short,Change long,Change short,Net position,url_report,type
01/11/22,138832,287485,-1618,-4731,-148653,deanymesf,other
25/10/22,140450,292216,2730,-238,-151766,deanymesf,other
18/10/22,137720,292454,-3197,-10566,-154734,deanymesf,other
11/10/22,140917,303020,4619,7626,-162103,deanymesf,other
04/10/22,136298,295394,-5723,1249,-159096,deanymesf,other
27/09/22,142021,294145,-11089,-14676,-152124,deanymesf,other
20/09/22,153110,308821,-2835,7161,-155711,deanymesf,other
13/09/22,155945,301660,-7714,-637,-145715,deanymesf,other
06/09/22,163659,302297,-5265,4608,-138638,deanymesf,other
30/08/22,168924,297689,1771,1926,-128765,deanymesf,other
23/08/22,167153,295763,-2980,4719,-128610,deanymesf,other
16/08/22,170133,291044,161,-4347,-120911,deanymesf,other
09/08/22,169972,295391,-4557,-4111,-125419,deanymesf,other
02/08/22,174529,299502,-8912,-2229,-124973,deanymesf,other
26/07/22,183441,301731,-169,-2202,-118290,deanymesf,other
19/07/22,183610,303933,416,-10864,-120323,deanymesf,other
12/07/22,183194,314797,-14743,-13659,-131603,deanymesf,other
05/07/22,197937,328456,-5267,-4167,-130519,deanymesf,other
28/06/22,203204,332623,-10283,-11733,-129419,deanymesf,other
21/06/22,213487,344356,-6769,615,-130869,deanymesf,other
14/06/22,220256,343741,-14817,-5674,-123485,deanymesf,other
07/06/22,235073,349415,6586,10560,-114342,deanymesf,other
31/05/22,228487,338855,-1732,-2934,-110368,deanymesf,other
24/05/22,230219,341789,-1357,-4799,-111570,deanymesf,other
17/05/22,231576,346588,-2730,-247,-115012,deanymesf,other
10/05/22,234306,346835,-12786,-17963,-112529,deanymesf,other
03/05/22,247092,364798,-559,-233,-117706,deanymesf,other
26/04/22,247651,365031,-3622,-16248,-117380,deanymesf,other
19/04/22,251273,381279,-11328,-18871,-130006,deanymesf,other
12/04/22,262601,400150,-4127,-3189,-137549,deanymesf,other
05/04/22,266728,403339,17593,16793,-136611,deanymesf,other
29/03/22,249135,386546,-146,-12072,-137411,deanymesf,other
22/03/22,249281,398618,8799,11576,-149337,deanymesf,other
15/03/22,240482,387042,-4610,3537,-146560,deanymesf,other
08/03/22,245092,383505,-410,11594,-138413,deanymesf,other
01/03/22,245502,371911,3589,-631,-126409,deanymesf,other
22/02/22,241913,372542,7235,6440,-130629,deanymesf,other
15/02/22,234678,366102,-6151,10184,-131424,deanymesf,other
08/02/22,240829,355918,-1870,-6791,-115089,deanymesf,other
01/02/22,242699,362709,8829,4304,-120010,deanymesf,other
25/01/22,233870,358405,-3981,2507,-124535,deanymesf,other
18/01/22,237851,355898,16455,11938,-118047,deanymesf,other
11/01/22,221396,343960,5225,-14118,-122564,deanymesf,other
04/01/22,216171,358078,4872,562,-141907,deanymesf,other
