Date,Long,Short,Change long,Change short,Net position,url_report,type
31/01/23,335074,91254,6594,12573,243820,deanymesf,other
24/01/23,328480,78681,8939,-1642,249799,deanymesf,other
17/01/23,319541,80323,12371,-21611,239218,deanymesf,other
10/01/23,307170,101934,-16376,5995,205236,deanymesf,other
03/01/23,323546,95939,-1471,18540,227607,deanymesf,other
27/12/22,325017,77399,-1178,-10605,247618,deanymesf,other
20/12/22,326195,88004,-966,-9598,238191,deanymesf,other
13/12/22,327161,97602,-2998,-837,229559,deanymesf,other
06/12/22,330159,98439,23985,32004,231720,deanymesf,other
29/11/22,306174,66435,-14466,-1730,239739,deanymesf,other
22/11/22,320640,68165,-41041,-15249,252475,deanymesf,other
15/11/22,361681,83414,-6904,-10381,278267,deanymesf,other
08/11/22,368585,93795,22389,2408,274790,deanymesf,other
01/11/22,346196,91387,10856,5126,254809,deanymesf,other
25/10/22,335340,86261,-869,1597,249079,deanymesf,other
18/10/22,336209,84664,-9049,-1374,251545,deanymesf,other
11/10/22,345258,86038,13563,-3658,259220,deanymesf,other
04/10/22,331695,89696,-2238,-18157,241999,deanymesf,other
27/09/22,333933,107853,-8655,5143,226080,deanymesf,other
20/09/22,342588,102710,1872,-10949,239878,deanymesf,other
13/09/22,340716,113659,14709,2130,227057,deanymesf,other
06/09/22,326007,111529,-6408,8303,214478,deanymesf,other
30/08/22,332415,103226,-9503,7528,229189,deanymesf,other
23/08/22,341918,95698,-4947,-36227,246220,deanymesf,other
16/08/22,346865,131925,8693,4404,214940,deanymesf,other
09/08/22,338172,127521,-23638,19463,210651,deanymesf,other
02/08/22,361810,108058,-6643,-1135,253752,deanymesf,other
26/07/22,368453,109193,-6224,5607,259260,deanymesf,other
19/07/22,374677,103586,-478,-3241,271091,deanymesf,other
12/07/22,375155,106827,-19788,-7593,268328,deanymesf,other
05/07/22,394943,114420,-1103,18066,280523,deanymesf,other
28/06/22,396046,96354,7550,-2640,299692,deanymesf,other
21/06/22,388496,98994,-20931,-7487,289502,deanymesf,other
14/06/22,409427,106481,-14455,10855,302946,deanymesf,other
07/06/22,423882,95626,2199,6919,328256,deanymesf,other
31/05/22,421683,88707,-858,927,332976,deanymesf,other
24/05/22,422541,87780,6351,-2773,334761,deanymesf,other
17/05/22,416190,90553,1020,-13814,325637,deanymesf,other
10/05/22,415170,104367,-4522,6376,310803,deanymesf,other
03/05/22,419692,97991,6054,416,321701,deanymesf,other
26/04/22,413638,97575,2016,-6350,316063,deanymesf,other
19/04/22,411622,103925,-356,-3275,307697,deanymesf,other
12/04/22,411978,107200,-1154,2662,304778,deanymesf,other
05/04/22,413132,104538,-6965,3172,308594,deanymesf,other
29/03/22,420097,101366,-16463,4775,318731,deanymesf,other
22/03/22,436560,96591,-8041,-6195,339969,deanymesf,other
15/03/22,444601,102786,-10738,9112,341815,deanymesf,other
08/03/22,455339,93674,-10026,-3028,361665,deanymesf,other
01/03/22,465365,96702,23263,-6359,368663,deanymesf,other
22/02/22,442102,103061,-16717,-7665,339041,deanymesf,other
15/02/22,458819,110726,-21741,-6451,348093,deanymesf,other
08/02/22,480560,117177,-7046,-1525,363383,deanymesf,other
01/02/22,487606,118702,-4704,-193,368904,deanymesf,other
25/01/22,492310,118895,-10868,1498,373415,deanymesf,other
18/01/22,503178,117397,18808,-6468,385781,deanymesf,other
11/01/22,484370,123865,21776,-5904,360505,deanymesf,other
04/01/22,462594,129769,-7352,-1748,332825,deanymesf,other
